problem_type,encoding,direction,problem_id,solver_id,repeat_index,seed,best_objective,feasible,objective_valid,objective_mismatch,best_known,best_known_reached,best_known_gap,stop_reason,runtime,linprog_runtime,evaluation_count,error,excluded_reason,metadata_json
mkp,binary,max,weish30,bsma_numba,0,84423235,11191,True,True,False,11191,True,0,best_known_reached,10.170039681950584,0.19265058799646795,20020,,,"{""solve"": {""linprog_runtime"": 0.19265058799646795, ""numba"": true}, ""validation"": {}}"
mkp,binary,max,weish29,bsma_numba,0,655708457,9410,True,True,False,9410,True,0,best_known_reached,0.46059912582859397,0.036312306066975,20020,,,"{""solve"": {""linprog_runtime"": 0.036312306066975, ""numba"": true}, ""validation"": {}}"
mkp,binary,max,weish30,bsma_numba,1,1552476262,11187,True,True,False,11191,False,4,max_iterations_reached,16.256208456121385,0.21849104901775718,20020,,,"{""solve"": {""linprog_runtime"": 0.21849104901775718, ""numba"": true}, ""validation"": {}}"
mkp,binary,max,weish29,bsma_numba,1,1427978743,9410,True,True,False,9410,True,0,best_known_reached,0.0762726969551295,0.007423275848850608,20020,,,"{""solve"": {""linprog_runtime"": 0.007423275848850608, ""numba"": true}, ""validation"": {}}"
mkp,binary,max,weish30,bsma_numba,2,1752238328,11191,True,True,False,11191,True,0,best_known_reached,9.073017738992348,0.18750293599441648,20020,,,"{""solve"": {""linprog_runtime"": 0.18750293599441648, ""numba"": true}, ""validation"": {}}"
mkp,binary,max,weish29,bsma_numba,2,1351852846,9410,True,True,False,9410,True,0,best_known_reached,0.5262491989415139,0.06040420406498015,20020,,,"{""solve"": {""linprog_runtime"": 0.06040420406498015, ""numba"": true}, ""validation"": {}}"
mkp,binary,max,weish30,bsma_numba,3,1015094847,11191,True,True,False,11191,True,0,best_known_reached,10.573976858984679,0.17625415697693825,20020,,,"{""solve"": {""linprog_runtime"": 0.17625415697693825, ""numba"": true}, ""validation"": {}}"
mkp,binary,max,weish29,bsma_numba,3,1429714095,9410,True,True,False,9410,True,0,best_known_reached,0.7811071770265698,0.2850510198622942,20020,,,"{""solve"": {""linprog_runtime"": 0.2850510198622942, ""numba"": true}, ""validation"": {}}"
mkp,binary,max,weish30,bsma_numba,4,1550472258,11191,True,True,False,11191,True,0,best_known_reached,10.39176481612958,0.2704909620806575,20020,,,"{""solve"": {""linprog_runtime"": 0.2704909620806575, ""numba"": true}, ""validation"": {}}"
mkp,binary,max,weish29,bsma_numba,4,968657842,9410,True,True,False,9410,True,0,best_known_reached,0.5751875468995422,0.08458949206396937,20020,,,"{""solve"": {""linprog_runtime"": 0.08458949206396937, ""numba"": true}, ""validation"": {}}"
mkp,binary,max,weish30,bsma_numba,5,991279141,11191,True,True,False,11191,True,0,best_known_reached,9.307210952043533,0.21580892615020275,20020,,,"{""solve"": {""linprog_runtime"": 0.21580892615020275, ""numba"": true}, ""validation"": {}}"
mkp,binary,max,weish29,bsma_numba,5,1452595594,9410,True,True,False,9410,True,0,best_known_reached,0.7623222260735929,0.025560170877724886,20020,,,"{""solve"": {""linprog_runtime"": 0.025560170877724886, ""numba"": true}, ""validation"": {}}"
mkp,binary,max,weish30,bsma_numba,6,62644833,11191,True,True,False,11191,True,0,best_known_reached,11.530802119988948,0.23222225601784885,20020,,,"{""solve"": {""linprog_runtime"": 0.23222225601784885, ""numba"": true}, ""validation"": {}}"
