dataset,problem_id,seed,max_iterations,pop_size,a,initial_unsorted_match,initial_sorted_match,population_trace_match,final_objective_old,final_objective_new,final_solution_match,old_stop_iteration,new_stop_iteration,old_stop_reason,new_stop_reason,first_mismatch_phase,first_mismatch_iteration,first_mismatch_rank,first_mismatch_field,trace_csv,all_match
HP,hp1,101,5000,20,2.0,True,True,True,3347,3347,True,4999,4999,max_iterations_reached,max_iterations_reached,,,,,traces/HP_hp1_population.csv,True
HP,hp2,101,5000,20,2.0,True,True,True,3085,3085,True,4999,4999,max_iterations_reached,max_iterations_reached,,,,,traces/HP_hp2_population.csv,True
PB,pb1,101,5000,20,2.0,True,True,True,3019,3019,True,4999,4999,max_iterations_reached,max_iterations_reached,,,,,traces/PB_pb1_population.csv,True
PB,pb2,101,5000,20,2.0,True,True,True,3148,3148,True,4999,4999,max_iterations_reached,max_iterations_reached,,,,,traces/PB_pb2_population.csv,True
PET,pet2,101,5000,20,2.0,True,True,True,85592,85592,True,4999,4999,max_iterations_reached,max_iterations_reached,,,,,traces/PET_pet2_population.csv,True
PET,pet3,101,5000,20,2.0,True,True,True,3405,3405,True,4999,4999,max_iterations_reached,max_iterations_reached,,,,,traces/PET_pet3_population.csv,True
SENT,sent01,101,5000,20,2.0,True,True,True,7761,7761,True,4999,4999,max_iterations_reached,max_iterations_reached,,,,,traces/SENT_sent01_population.csv,True
SENT,sent02,101,5000,20,2.0,True,True,True,8722,8722,True,1,1,best_known_reached,best_known_reached,,,,,traces/SENT_sent02_population.csv,True
WEING,weing1,101,5000,20,2.0,True,True,True,141278,141278,True,0,0,best_known_reached,best_known_reached,,,,,traces/WEING_weing1_population.csv,True
WEING,weing2,101,5000,20,2.0,True,True,True,130723,130723,True,4999,4999,max_iterations_reached,max_iterations_reached,,,,,traces/WEING_weing2_population.csv,True
WEISH,weish01,101,5000,20,2.0,True,True,True,4534,4534,True,4999,4999,max_iterations_reached,max_iterations_reached,,,,,traces/WEISH_weish01_population.csv,True
WEISH,weish02,101,5000,20,2.0,True,True,True,4506,4506,True,4999,4999,max_iterations_reached,max_iterations_reached,,,,,traces/WEISH_weish02_population.csv,True
