dataset,problem_id,seed,phase,iteration,rank,old_fit,new_fit,fit_match,old_solution_digest,new_solution_digest,solution_match
SENT,sent02,101,initial_unsorted,-1,0,4974,4974,True,6d095755d32034da,6d095755d32034da,True
SENT,sent02,101,initial_unsorted,-1,1,4040,4040,True,f1ef07c426d59ce4,f1ef07c426d59ce4,True
SENT,sent02,101,initial_unsorted,-1,2,5450,5450,True,fe69cf58b52939b8,fe69cf58b52939b8,True
SENT,sent02,101,initial_unsorted,-1,3,3701,3701,True,0742c1d994c5210c,0742c1d994c5210c,True
SENT,sent02,101,initial_unsorted,-1,4,3381,3381,True,5438acf5e6a1a65c,5438acf5e6a1a65c,True
SENT,sent02,101,initial_unsorted,-1,5,3741,3741,True,677501610f1d3c3e,677501610f1d3c3e,True
SENT,sent02,101,initial_unsorted,-1,6,4278,4278,True,aa9f81a75d63e67e,aa9f81a75d63e67e,True
SENT,sent02,101,initial_unsorted,-1,7,5135,5135,True,ea29ae8cc69c9c03,ea29ae8cc69c9c03,True
SENT,sent02,101,initial_unsorted,-1,8,5315,5315,True,3d481d3d5ee9435c,3d481d3d5ee9435c,True
SENT,sent02,101,initial_unsorted,-1,9,5422,5422,True,5ceaabb63ad1a910,5ceaabb63ad1a910,True
SENT,sent02,101,initial_unsorted,-1,10,4291,4291,True,9b4c985937c9ce3e,9b4c985937c9ce3e,True
SENT,sent02,101,initial_unsorted,-1,11,6363,6363,True,cee30a81bcd6760f,cee30a81bcd6760f,True
SENT,sent02,101,initial_unsorted,-1,12,3854,3854,True,a61acc62a301d6fb,a61acc62a301d6fb,True
SENT,sent02,101,initial_unsorted,-1,13,5142,5142,True,71f6ec7b189e58f5,71f6ec7b189e58f5,True
SENT,sent02,101,initial_unsorted,-1,14,4976,4976,True,40a4f9927e7c7033,40a4f9927e7c7033,True
SENT,sent02,101,initial_unsorted,-1,15,2626,2626,True,72f40be7e5b3bccb,72f40be7e5b3bccb,True
SENT,sent02,101,initial_unsorted,-1,16,4341,4341,True,1756a3d304c4919d,1756a3d304c4919d,True
SENT,sent02,101,initial_unsorted,-1,17,4861,4861,True,fb6b278e2f673c82,fb6b278e2f673c82,True
SENT,sent02,101,initial_unsorted,-1,18,5256,5256,True,ae10df1d64466e75,ae10df1d64466e75,True
SENT,sent02,101,initial_unsorted,-1,19,5382,5382,True,cf9162e84d98069a,cf9162e84d98069a,True
SENT,sent02,101,initial_sorted,-1,0,6363,6363,True,cee30a81bcd6760f,cee30a81bcd6760f,True
SENT,sent02,101,initial_sorted,-1,1,5450,5450,True,fe69cf58b52939b8,fe69cf58b52939b8,True
SENT,sent02,101,initial_sorted,-1,2,5422,5422,True,5ceaabb63ad1a910,5ceaabb63ad1a910,True
SENT,sent02,101,initial_sorted,-1,3,5382,5382,True,cf9162e84d98069a,cf9162e84d98069a,True
SENT,sent02,101,initial_sorted,-1,4,5315,5315,True,3d481d3d5ee9435c,3d481d3d5ee9435c,True
SENT,sent02,101,initial_sorted,-1,5,5256,5256,True,ae10df1d64466e75,ae10df1d64466e75,True
SENT,sent02,101,initial_sorted,-1,6,5142,5142,True,71f6ec7b189e58f5,71f6ec7b189e58f5,True
SENT,sent02,101,initial_sorted,-1,7,5135,5135,True,ea29ae8cc69c9c03,ea29ae8cc69c9c03,True
SENT,sent02,101,initial_sorted,-1,8,4976,4976,True,40a4f9927e7c7033,40a4f9927e7c7033,True
SENT,sent02,101,initial_sorted,-1,9,4974,4974,True,6d095755d32034da,6d095755d32034da,True
SENT,sent02,101,initial_sorted,-1,10,4861,4861,True,fb6b278e2f673c82,fb6b278e2f673c82,True
SENT,sent02,101,initial_sorted,-1,11,4341,4341,True,1756a3d304c4919d,1756a3d304c4919d,True
SENT,sent02,101,initial_sorted,-1,12,4291,4291,True,9b4c985937c9ce3e,9b4c985937c9ce3e,True
SENT,sent02,101,initial_sorted,-1,13,4278,4278,True,aa9f81a75d63e67e,aa9f81a75d63e67e,True
SENT,sent02,101,initial_sorted,-1,14,4040,4040,True,f1ef07c426d59ce4,f1ef07c426d59ce4,True
SENT,sent02,101,initial_sorted,-1,15,3854,3854,True,a61acc62a301d6fb,a61acc62a301d6fb,True
SENT,sent02,101,initial_sorted,-1,16,3741,3741,True,677501610f1d3c3e,677501610f1d3c3e,True
SENT,sent02,101,initial_sorted,-1,17,3701,3701,True,0742c1d994c5210c,0742c1d994c5210c,True
SENT,sent02,101,initial_sorted,-1,18,3381,3381,True,5438acf5e6a1a65c,5438acf5e6a1a65c,True
SENT,sent02,101,initial_sorted,-1,19,2626,2626,True,72f40be7e5b3bccb,72f40be7e5b3bccb,True
SENT,sent02,101,iteration_end,0,0,8698,8698,True,16022d29e1505b36,16022d29e1505b36,True
SENT,sent02,101,iteration_end,0,1,8698,8698,True,16022d29e1505b36,16022d29e1505b36,True
SENT,sent02,101,iteration_end,0,2,8698,8698,True,16022d29e1505b36,16022d29e1505b36,True
SENT,sent02,101,iteration_end,0,3,8698,8698,True,16022d29e1505b36,16022d29e1505b36,True
SENT,sent02,101,iteration_end,0,4,8698,8698,True,16022d29e1505b36,16022d29e1505b36,True
SENT,sent02,101,iteration_end,0,5,8698,8698,True,16022d29e1505b36,16022d29e1505b36,True
SENT,sent02,101,iteration_end,0,6,8666,8666,True,540dac50d37f2aa2,540dac50d37f2aa2,True
SENT,sent02,101,iteration_end,0,7,8666,8666,True,540dac50d37f2aa2,540dac50d37f2aa2,True
SENT,sent02,101,iteration_end,0,8,8666,8666,True,540dac50d37f2aa2,540dac50d37f2aa2,True
SENT,sent02,101,iteration_end,0,9,8666,8666,True,540dac50d37f2aa2,540dac50d37f2aa2,True
SENT,sent02,101,iteration_end,0,10,8666,8666,True,540dac50d37f2aa2,540dac50d37f2aa2,True
SENT,sent02,101,iteration_end,0,11,8666,8666,True,540dac50d37f2aa2,540dac50d37f2aa2,True
SENT,sent02,101,iteration_end,0,12,8666,8666,True,540dac50d37f2aa2,540dac50d37f2aa2,True
SENT,sent02,101,iteration_end,0,13,8666,8666,True,540dac50d37f2aa2,540dac50d37f2aa2,True
SENT,sent02,101,iteration_end,0,14,8506,8506,True,9eb5640328848050,9eb5640328848050,True
SENT,sent02,101,iteration_end,0,15,8449,8449,True,4d3a72913f559947,4d3a72913f559947,True
SENT,sent02,101,iteration_end,0,16,8437,8437,True,0845713c0829481d,0845713c0829481d,True
SENT,sent02,101,iteration_end,0,17,8416,8416,True,9cba3ed35683c8f4,9cba3ed35683c8f4,True
SENT,sent02,101,iteration_end,0,18,8394,8394,True,6b983b29573bb67e,6b983b29573bb67e,True
SENT,sent02,101,iteration_end,0,19,8369,8369,True,0a06da367d6f64b6,0a06da367d6f64b6,True
SENT,sent02,101,iteration_end,1,0,8722,8722,True,7c251f477486f35f,7c251f477486f35f,True
SENT,sent02,101,iteration_end,1,1,8698,8698,True,16022d29e1505b36,16022d29e1505b36,True
SENT,sent02,101,iteration_end,1,2,8698,8698,True,16022d29e1505b36,16022d29e1505b36,True
SENT,sent02,101,iteration_end,1,3,8698,8698,True,16022d29e1505b36,16022d29e1505b36,True
SENT,sent02,101,iteration_end,1,4,8698,8698,True,16022d29e1505b36,16022d29e1505b36,True
SENT,sent02,101,iteration_end,1,5,8698,8698,True,16022d29e1505b36,16022d29e1505b36,True
SENT,sent02,101,iteration_end,1,6,8666,8666,True,540dac50d37f2aa2,540dac50d37f2aa2,True
SENT,sent02,101,iteration_end,1,7,8666,8666,True,540dac50d37f2aa2,540dac50d37f2aa2,True
SENT,sent02,101,iteration_end,1,8,8666,8666,True,540dac50d37f2aa2,540dac50d37f2aa2,True
SENT,sent02,101,iteration_end,1,9,8666,8666,True,540dac50d37f2aa2,540dac50d37f2aa2,True
SENT,sent02,101,iteration_end,1,10,8666,8666,True,540dac50d37f2aa2,540dac50d37f2aa2,True
SENT,sent02,101,iteration_end,1,11,8666,8666,True,540dac50d37f2aa2,540dac50d37f2aa2,True
SENT,sent02,101,iteration_end,1,12,8666,8666,True,540dac50d37f2aa2,540dac50d37f2aa2,True
SENT,sent02,101,iteration_end,1,13,8666,8666,True,540dac50d37f2aa2,540dac50d37f2aa2,True
SENT,sent02,101,iteration_end,1,14,8506,8506,True,9eb5640328848050,9eb5640328848050,True
SENT,sent02,101,iteration_end,1,15,8449,8449,True,4d3a72913f559947,4d3a72913f559947,True
SENT,sent02,101,iteration_end,1,16,8437,8437,True,0845713c0829481d,0845713c0829481d,True
SENT,sent02,101,iteration_end,1,17,8416,8416,True,9cba3ed35683c8f4,9cba3ed35683c8f4,True
SENT,sent02,101,iteration_end,1,18,8394,8394,True,6b983b29573bb67e,6b983b29573bb67e,True
SENT,sent02,101,iteration_end,1,19,8369,8369,True,0a06da367d6f64b6,0a06da367d6f64b6,True
