dataset,problem_id,seed,phase,iteration,rank,old_fit,new_fit,fit_match,old_solution_digest,new_solution_digest,solution_match
WEING,weing1,101,initial_unsorted,-1,0,82723,82723,True,8634c5b0ea07a3ff,8634c5b0ea07a3ff,True
WEING,weing1,101,initial_unsorted,-1,1,126030,126030,True,39a763784cd99416,39a763784cd99416,True
WEING,weing1,101,initial_unsorted,-1,2,83068,83068,True,4a4b3243d1c6c715,4a4b3243d1c6c715,True
WEING,weing1,101,initial_unsorted,-1,3,99712,99712,True,7909e793472b3748,7909e793472b3748,True
WEING,weing1,101,initial_unsorted,-1,4,94368,94368,True,25e7642cb55027c4,25e7642cb55027c4,True
WEING,weing1,101,initial_unsorted,-1,5,58603,58603,True,176d989e4d68b5a6,176d989e4d68b5a6,True
WEING,weing1,101,initial_unsorted,-1,6,105375,105375,True,998cbbebe3e24cd8,998cbbebe3e24cd8,True
WEING,weing1,101,initial_unsorted,-1,7,94681,94681,True,bceaac6f66fe6292,bceaac6f66fe6292,True
WEING,weing1,101,initial_unsorted,-1,8,100506,100506,True,83cb18371300ad60,83cb18371300ad60,True
WEING,weing1,101,initial_unsorted,-1,9,78841,78841,True,a1355a2507bce2e8,a1355a2507bce2e8,True
WEING,weing1,101,initial_unsorted,-1,10,78831,78831,True,cd9d73c9bc7686eb,cd9d73c9bc7686eb,True
WEING,weing1,101,initial_unsorted,-1,11,19030,19030,True,b46ac756ec8b4bbd,b46ac756ec8b4bbd,True
WEING,weing1,101,initial_unsorted,-1,12,123506,123506,True,38839cae1d893f82,38839cae1d893f82,True
WEING,weing1,101,initial_unsorted,-1,13,106925,106925,True,ee68ceaa93cacd16,ee68ceaa93cacd16,True
WEING,weing1,101,initial_unsorted,-1,14,32493,32493,True,dd5090060f72926b,dd5090060f72926b,True
WEING,weing1,101,initial_unsorted,-1,15,78582,78582,True,46756a38725827bd,46756a38725827bd,True
WEING,weing1,101,initial_unsorted,-1,16,55713,55713,True,6bbc57e9039cb563,6bbc57e9039cb563,True
WEING,weing1,101,initial_unsorted,-1,17,81108,81108,True,0940be562e2f3844,0940be562e2f3844,True
WEING,weing1,101,initial_unsorted,-1,18,27275,27275,True,bbf7236617df0bee,bbf7236617df0bee,True
WEING,weing1,101,initial_unsorted,-1,19,55449,55449,True,10e01cd6c9efccfd,10e01cd6c9efccfd,True
WEING,weing1,101,initial_sorted,-1,0,126030,126030,True,39a763784cd99416,39a763784cd99416,True
WEING,weing1,101,initial_sorted,-1,1,123506,123506,True,38839cae1d893f82,38839cae1d893f82,True
WEING,weing1,101,initial_sorted,-1,2,106925,106925,True,ee68ceaa93cacd16,ee68ceaa93cacd16,True
WEING,weing1,101,initial_sorted,-1,3,105375,105375,True,998cbbebe3e24cd8,998cbbebe3e24cd8,True
WEING,weing1,101,initial_sorted,-1,4,100506,100506,True,83cb18371300ad60,83cb18371300ad60,True
WEING,weing1,101,initial_sorted,-1,5,99712,99712,True,7909e793472b3748,7909e793472b3748,True
WEING,weing1,101,initial_sorted,-1,6,94681,94681,True,bceaac6f66fe6292,bceaac6f66fe6292,True
WEING,weing1,101,initial_sorted,-1,7,94368,94368,True,25e7642cb55027c4,25e7642cb55027c4,True
WEING,weing1,101,initial_sorted,-1,8,83068,83068,True,4a4b3243d1c6c715,4a4b3243d1c6c715,True
WEING,weing1,101,initial_sorted,-1,9,82723,82723,True,8634c5b0ea07a3ff,8634c5b0ea07a3ff,True
WEING,weing1,101,initial_sorted,-1,10,81108,81108,True,0940be562e2f3844,0940be562e2f3844,True
WEING,weing1,101,initial_sorted,-1,11,78841,78841,True,a1355a2507bce2e8,a1355a2507bce2e8,True
WEING,weing1,101,initial_sorted,-1,12,78831,78831,True,cd9d73c9bc7686eb,cd9d73c9bc7686eb,True
WEING,weing1,101,initial_sorted,-1,13,78582,78582,True,46756a38725827bd,46756a38725827bd,True
WEING,weing1,101,initial_sorted,-1,14,58603,58603,True,176d989e4d68b5a6,176d989e4d68b5a6,True
WEING,weing1,101,initial_sorted,-1,15,55713,55713,True,6bbc57e9039cb563,6bbc57e9039cb563,True
WEING,weing1,101,initial_sorted,-1,16,55449,55449,True,10e01cd6c9efccfd,10e01cd6c9efccfd,True
WEING,weing1,101,initial_sorted,-1,17,32493,32493,True,dd5090060f72926b,dd5090060f72926b,True
WEING,weing1,101,initial_sorted,-1,18,27275,27275,True,bbf7236617df0bee,bbf7236617df0bee,True
WEING,weing1,101,initial_sorted,-1,19,19030,19030,True,b46ac756ec8b4bbd,b46ac756ec8b4bbd,True
WEING,weing1,101,iteration_end,0,0,141278,141278,True,16e4fbee718caa09,16e4fbee718caa09,True
WEING,weing1,101,iteration_end,0,1,141258,141258,True,75106e3ffe8191f9,75106e3ffe8191f9,True
WEING,weing1,101,iteration_end,0,2,140143,140143,True,b07e06874c8a2551,b07e06874c8a2551,True
WEING,weing1,101,iteration_end,0,3,140143,140143,True,b07e06874c8a2551,b07e06874c8a2551,True
WEING,weing1,101,iteration_end,0,4,140143,140143,True,b07e06874c8a2551,b07e06874c8a2551,True
WEING,weing1,101,iteration_end,0,5,140143,140143,True,b07e06874c8a2551,b07e06874c8a2551,True
WEING,weing1,101,iteration_end,0,6,94681,94681,True,bceaac6f66fe6292,bceaac6f66fe6292,True
WEING,weing1,101,iteration_end,0,7,94368,94368,True,25e7642cb55027c4,25e7642cb55027c4,True
WEING,weing1,101,iteration_end,0,8,83068,83068,True,4a4b3243d1c6c715,4a4b3243d1c6c715,True
WEING,weing1,101,iteration_end,0,9,82723,82723,True,8634c5b0ea07a3ff,8634c5b0ea07a3ff,True
WEING,weing1,101,iteration_end,0,10,81108,81108,True,0940be562e2f3844,0940be562e2f3844,True
WEING,weing1,101,iteration_end,0,11,78841,78841,True,a1355a2507bce2e8,a1355a2507bce2e8,True
