dataset,problem_id,seed,max_iterations,pop_size,a,z,prob_arr,initial_unsorted_match,initial_sorted_match,population_trace_match,final_objective_old,final_objective_new,final_solution_match,old_stop_iteration,new_stop_iteration,old_stop_reason,new_stop_reason,first_mismatch_phase,first_mismatch_iteration,first_mismatch_rank,first_mismatch_field,trace_csv,all_match,old_crashed_iteration,new_crashed_iteration,crash_match
HP,hp1,101,5000,20,2.0,0.03,"[0.04, 0.46, 0.25, 0.25]",True,True,True,3418,3418,True,1584,1584,best_known_reached,best_known_reached,,,,,traces/HP_hp1_population.csv,True,,,True
HP,hp2,101,5000,20,2.0,0.03,"[0.04, 0.46, 0.25, 0.25]",True,True,True,3170,3170,True,4999,4999,max_iterations_reached,max_iterations_reached,,,,,traces/HP_hp2_population.csv,True,,,True
PB,pb1,101,5000,20,2.0,0.03,"[0.04, 0.46, 0.25, 0.25]",True,True,True,3090,3090,True,48,48,best_known_reached,best_known_reached,,,,,traces/PB_pb1_population.csv,True,,,True
PB,pb2,101,5000,20,2.0,0.03,"[0.04, 0.46, 0.25, 0.25]",True,True,True,3148,3148,True,585,585,value_error_nan,value_error_nan,,,,,traces/PB_pb2_population.csv,True,585,585,True
PET,pet2,101,5000,20,2.0,0.03,"[0.04, 0.46, 0.25, 0.25]",True,True,True,87061,87061,True,9,9,best_known_reached,best_known_reached,,,,,traces/PET_pet2_population.csv,True,,,True
PET,pet3,101,5000,20,2.0,0.03,"[0.04, 0.46, 0.25, 0.25]",True,True,True,4015,4015,True,156,156,best_known_reached,best_known_reached,,,,,traces/PET_pet3_population.csv,True,,,True
SENT,sent01,101,5000,20,2.0,0.03,"[0.04, 0.46, 0.25, 0.25]",True,True,True,7761,7761,True,16,16,value_error_nan,value_error_nan,,,,,traces/SENT_sent01_population.csv,True,16,16,True
SENT,sent02,101,5000,20,2.0,0.03,"[0.04, 0.46, 0.25, 0.25]",True,True,True,8722,8722,True,0,0,best_known_reached,best_known_reached,,,,,traces/SENT_sent02_population.csv,True,,,True
WEING,weing1,101,5000,20,2.0,0.03,"[0.04, 0.46, 0.25, 0.25]",True,True,True,141278,141278,True,2,2,best_known_reached,best_known_reached,,,,,traces/WEING_weing1_population.csv,True,,,True
WEING,weing2,101,5000,20,2.0,0.03,"[0.04, 0.46, 0.25, 0.25]",True,True,True,130723,130723,True,14,14,value_error_nan,value_error_nan,,,,,traces/WEING_weing2_population.csv,True,14,14,True
WEISH,weish01,101,5000,20,2.0,0.03,"[0.04, 0.46, 0.25, 0.25]",True,True,True,4554,4554,True,3,3,best_known_reached,best_known_reached,,,,,traces/WEISH_weish01_population.csv,True,,,True
WEISH,weish02,101,5000,20,2.0,0.03,"[0.04, 0.46, 0.25, 0.25]",True,True,True,4506,4506,True,6,6,value_error_nan,value_error_nan,,,,,traces/WEISH_weish02_population.csv,True,6,6,True
