dataset,problem_id,seed,phase,iteration,rank,old_fit,new_fit,fit_match,old_solution_digest,new_solution_digest,solution_match
HP,hp1,101,initial_unsorted,-1,0,2797,2797,True,3b50ba33b7da6266,3b50ba33b7da6266,True
HP,hp1,101,initial_unsorted,-1,1,2921,2921,True,00365f4cc5fdfec7,00365f4cc5fdfec7,True
HP,hp1,101,initial_unsorted,-1,2,2408,2408,True,322952a74fe1245a,322952a74fe1245a,True
HP,hp1,101,initial_unsorted,-1,3,2980,2980,True,02fa41cbf17be694,02fa41cbf17be694,True
HP,hp1,101,initial_unsorted,-1,4,2280,2280,True,d35ce9d72fc6e418,d35ce9d72fc6e418,True
HP,hp1,101,initial_unsorted,-1,5,1140,1140,True,f3d31916fc7638d8,f3d31916fc7638d8,True
HP,hp1,101,initial_unsorted,-1,6,2185,2185,True,3dc90a33a7aea505,3dc90a33a7aea505,True
HP,hp1,101,initial_unsorted,-1,7,1973,1973,True,1d266ed7f7234d18,1d266ed7f7234d18,True
HP,hp1,101,initial_unsorted,-1,8,1811,1811,True,97e904465f1426ae,97e904465f1426ae,True
HP,hp1,101,initial_unsorted,-1,9,1611,1611,True,39859f551fe02893,39859f551fe02893,True
HP,hp1,101,initial_unsorted,-1,10,2054,2054,True,a3843af8e0da16d8,a3843af8e0da16d8,True
HP,hp1,101,initial_unsorted,-1,11,645,645,True,d45eb577659af336,d45eb577659af336,True
HP,hp1,101,initial_unsorted,-1,12,1436,1436,True,30da86f0c4da507f,30da86f0c4da507f,True
HP,hp1,101,initial_unsorted,-1,13,2664,2664,True,8ee80a7e16b5236b,8ee80a7e16b5236b,True
HP,hp1,101,initial_unsorted,-1,14,2663,2663,True,b9680438b180374e,b9680438b180374e,True
HP,hp1,101,initial_unsorted,-1,15,2434,2434,True,4b1d60c27c3fc357,4b1d60c27c3fc357,True
HP,hp1,101,initial_unsorted,-1,16,2581,2581,True,b179d2217fab140e,b179d2217fab140e,True
HP,hp1,101,initial_unsorted,-1,17,2339,2339,True,42aaff1be7ae6642,42aaff1be7ae6642,True
HP,hp1,101,initial_unsorted,-1,18,1945,1945,True,539073cc1403f21e,539073cc1403f21e,True
HP,hp1,101,initial_unsorted,-1,19,2915,2915,True,c61c2bfbd521da67,c61c2bfbd521da67,True
HP,hp1,101,initial_sorted,-1,0,2980,2980,True,02fa41cbf17be694,02fa41cbf17be694,True
HP,hp1,101,initial_sorted,-1,1,2921,2921,True,00365f4cc5fdfec7,00365f4cc5fdfec7,True
HP,hp1,101,initial_sorted,-1,2,2915,2915,True,c61c2bfbd521da67,c61c2bfbd521da67,True
HP,hp1,101,initial_sorted,-1,3,2797,2797,True,3b50ba33b7da6266,3b50ba33b7da6266,True
HP,hp1,101,initial_sorted,-1,4,2664,2664,True,8ee80a7e16b5236b,8ee80a7e16b5236b,True
HP,hp1,101,initial_sorted,-1,5,2663,2663,True,b9680438b180374e,b9680438b180374e,True
HP,hp1,101,initial_sorted,-1,6,2581,2581,True,b179d2217fab140e,b179d2217fab140e,True
HP,hp1,101,initial_sorted,-1,7,2434,2434,True,4b1d60c27c3fc357,4b1d60c27c3fc357,True
HP,hp1,101,initial_sorted,-1,8,2408,2408,True,322952a74fe1245a,322952a74fe1245a,True
HP,hp1,101,initial_sorted,-1,9,2339,2339,True,42aaff1be7ae6642,42aaff1be7ae6642,True
HP,hp1,101,initial_sorted,-1,10,2280,2280,True,d35ce9d72fc6e418,d35ce9d72fc6e418,True
HP,hp1,101,initial_sorted,-1,11,2185,2185,True,3dc90a33a7aea505,3dc90a33a7aea505,True
HP,hp1,101,initial_sorted,-1,12,2054,2054,True,a3843af8e0da16d8,a3843af8e0da16d8,True
HP,hp1,101,initial_sorted,-1,13,1973,1973,True,1d266ed7f7234d18,1d266ed7f7234d18,True
HP,hp1,101,initial_sorted,-1,14,1945,1945,True,539073cc1403f21e,539073cc1403f21e,True
HP,hp1,101,initial_sorted,-1,15,1811,1811,True,97e904465f1426ae,97e904465f1426ae,True
HP,hp1,101,initial_sorted,-1,16,1611,1611,True,39859f551fe02893,39859f551fe02893,True
