dataset,problem_id,seed,phase,iteration,rank,old_fit,new_fit,fit_match,old_solution_digest,new_solution_digest,solution_match
PB,pb2,101,initial_unsorted,-1,0,2259,2259,True,a0095ff216814fea,a0095ff216814fea,True
PB,pb2,101,initial_unsorted,-1,1,2377,2377,True,ff641133244e64bb,ff641133244e64bb,True
PB,pb2,101,initial_unsorted,-1,2,2533,2533,True,22221e03dfb46169,22221e03dfb46169,True
PB,pb2,101,initial_unsorted,-1,3,2779,2779,True,b95e8878f883bcb6,b95e8878f883bcb6,True
PB,pb2,101,initial_unsorted,-1,4,2323,2323,True,a64dedd34c4a18b8,a64dedd34c4a18b8,True
PB,pb2,101,initial_unsorted,-1,5,1531,1531,True,a8329a3b06e82c63,a8329a3b06e82c63,True
PB,pb2,101,initial_unsorted,-1,6,2307,2307,True,3a2d17185dba1583,3a2d17185dba1583,True
PB,pb2,101,initial_unsorted,-1,7,2371,2371,True,44303a5247ea9b37,44303a5247ea9b37,True
PB,pb2,101,initial_unsorted,-1,8,2681,2681,True,c3d71ab6f4f7ae1b,c3d71ab6f4f7ae1b,True
PB,pb2,101,initial_unsorted,-1,9,1939,1939,True,101323a60c1b9313,101323a60c1b9313,True
PB,pb2,101,initial_unsorted,-1,10,1910,1910,True,dbb599fa3db38047,dbb599fa3db38047,True
PB,pb2,101,initial_unsorted,-1,11,2239,2239,True,88e1eba8a6839a95,88e1eba8a6839a95,True
PB,pb2,101,initial_unsorted,-1,12,2057,2057,True,26789cfd4a6d68b3,26789cfd4a6d68b3,True
PB,pb2,101,initial_unsorted,-1,13,2400,2400,True,6d87bebe85e04872,6d87bebe85e04872,True
PB,pb2,101,initial_unsorted,-1,14,1751,1751,True,db55bef7ed12fe4d,db55bef7ed12fe4d,True
PB,pb2,101,initial_unsorted,-1,15,1721,1721,True,0af4a4766c10487b,0af4a4766c10487b,True
PB,pb2,101,initial_unsorted,-1,16,1755,1755,True,dfefba5641a804c0,dfefba5641a804c0,True
PB,pb2,101,initial_unsorted,-1,17,2490,2490,True,d07cf2101294c102,d07cf2101294c102,True
PB,pb2,101,initial_unsorted,-1,18,2519,2519,True,ca3aa03fe6da80d8,ca3aa03fe6da80d8,True
PB,pb2,101,initial_unsorted,-1,19,2461,2461,True,8237d749c5955f28,8237d749c5955f28,True
PB,pb2,101,initial_sorted,-1,0,2779,2779,True,b95e8878f883bcb6,b95e8878f883bcb6,True
PB,pb2,101,initial_sorted,-1,1,2681,2681,True,c3d71ab6f4f7ae1b,c3d71ab6f4f7ae1b,True
PB,pb2,101,initial_sorted,-1,2,2533,2533,True,22221e03dfb46169,22221e03dfb46169,True
PB,pb2,101,initial_sorted,-1,3,2519,2519,True,ca3aa03fe6da80d8,ca3aa03fe6da80d8,True
PB,pb2,101,initial_sorted,-1,4,2490,2490,True,d07cf2101294c102,d07cf2101294c102,True
PB,pb2,101,initial_sorted,-1,5,2461,2461,True,8237d749c5955f28,8237d749c5955f28,True
PB,pb2,101,initial_sorted,-1,6,2400,2400,True,6d87bebe85e04872,6d87bebe85e04872,True
PB,pb2,101,initial_sorted,-1,7,2377,2377,True,ff641133244e64bb,ff641133244e64bb,True
PB,pb2,101,initial_sorted,-1,8,2371,2371,True,44303a5247ea9b37,44303a5247ea9b37,True
PB,pb2,101,initial_sorted,-1,9,2323,2323,True,a64dedd34c4a18b8,a64dedd34c4a18b8,True
PB,pb2,101,initial_sorted,-1,10,2307,2307,True,3a2d17185dba1583,3a2d17185dba1583,True
PB,pb2,101,initial_sorted,-1,11,2259,2259,True,a0095ff216814fea,a0095ff216814fea,True
PB,pb2,101,initial_sorted,-1,12,2239,2239,True,88e1eba8a6839a95,88e1eba8a6839a95,True
PB,pb2,101,initial_sorted,-1,13,2057,2057,True,26789cfd4a6d68b3,26789cfd4a6d68b3,True
PB,pb2,101,initial_sorted,-1,14,1939,1939,True,101323a60c1b9313,101323a60c1b9313,True
PB,pb2,101,initial_sorted,-1,15,1910,1910,True,dbb599fa3db38047,dbb599fa3db38047,True
PB,pb2,101,initial_sorted,-1,16,1755,1755,True,dfefba5641a804c0,dfefba5641a804c0,True
PB,pb2,101,initial_sorted,-1,17,1751,1751,True,db55bef7ed12fe4d,db55bef7ed12fe4d,True
PB,pb2,101,initial_sorted,-1,18,1721,1721,True,0af4a4766c10487b,0af4a4766c10487b,True
PB,pb2,101,initial_sorted,-1,19,1531,1531,True,a8329a3b06e82c63,a8329a3b06e82c63,True
PB,pb2,101,iteration_end,0,0,3096,3096,True,9b3195af2b1e8d0d,9b3195af2b1e8d0d,True
