dataset,problem_id,seed,phase,iteration,rank,old_fit,new_fit,fit_match,old_solution_digest,new_solution_digest,solution_match
PET,pet3,101,initial_unsorted,-1,0,2570,2570,True,d3b8a7b26f84b026,d3b8a7b26f84b026,True
PET,pet3,101,initial_unsorted,-1,1,2465,2465,True,9cafd2296431f71e,9cafd2296431f71e,True
PET,pet3,101,initial_unsorted,-1,2,3245,3245,True,0b1604f26734dba8,0b1604f26734dba8,True
PET,pet3,101,initial_unsorted,-1,3,2440,2440,True,3eef700992958053,3eef700992958053,True
PET,pet3,101,initial_unsorted,-1,4,2395,2395,True,def5cb0bf070d9fc,def5cb0bf070d9fc,True
PET,pet3,101,initial_unsorted,-1,5,3215,3215,True,2783332a99403762,2783332a99403762,True
PET,pet3,101,initial_unsorted,-1,6,1995,1995,True,7768c4dbe2bd484c,7768c4dbe2bd484c,True
PET,pet3,101,initial_unsorted,-1,7,2915,2915,True,9f14d2b58307aecd,9f14d2b58307aecd,True
PET,pet3,101,initial_unsorted,-1,8,3370,3370,True,0fb23b5166ddc3ed,0fb23b5166ddc3ed,True
PET,pet3,101,initial_unsorted,-1,9,3405,3405,True,dac8dbc0351b557f,dac8dbc0351b557f,True
PET,pet3,101,initial_unsorted,-1,10,2915,2915,True,8980ed7fc978ed64,8980ed7fc978ed64,True
PET,pet3,101,initial_unsorted,-1,11,1830,1830,True,261db7ef3f322e84,261db7ef3f322e84,True
PET,pet3,101,initial_unsorted,-1,12,935,935,True,2c8db21fb36f480e,2c8db21fb36f480e,True
PET,pet3,101,initial_unsorted,-1,13,1895,1895,True,59ae321fbe6bfdad,59ae321fbe6bfdad,True
PET,pet3,101,initial_unsorted,-1,14,2380,2380,True,e1fc3022cb6fd91e,e1fc3022cb6fd91e,True
PET,pet3,101,initial_unsorted,-1,15,2685,2685,True,b9ba7aacc3ae5f1c,b9ba7aacc3ae5f1c,True
PET,pet3,101,initial_unsorted,-1,16,1670,1670,True,ae027402c94601b1,ae027402c94601b1,True
PET,pet3,101,initial_unsorted,-1,17,2220,2220,True,b3d41684392dade6,b3d41684392dade6,True
PET,pet3,101,initial_unsorted,-1,18,2540,2540,True,5d89c4c0437cddbe,5d89c4c0437cddbe,True
PET,pet3,101,initial_unsorted,-1,19,2570,2570,True,4dd12614e2273a2a,4dd12614e2273a2a,True
PET,pet3,101,initial_sorted,-1,0,3405,3405,True,dac8dbc0351b557f,dac8dbc0351b557f,True
PET,pet3,101,initial_sorted,-1,1,3370,3370,True,0fb23b5166ddc3ed,0fb23b5166ddc3ed,True
