dataset,problem_id,seed,phase,iteration,rank,old_fit,new_fit,fit_match,old_solution_digest,new_solution_digest,solution_match
SENT,sent02,101,initial_unsorted,-1,0,4974,4974,True,6d095755d32034da,6d095755d32034da,True
SENT,sent02,101,initial_unsorted,-1,1,4040,4040,True,f1ef07c426d59ce4,f1ef07c426d59ce4,True
SENT,sent02,101,initial_unsorted,-1,2,5450,5450,True,fe69cf58b52939b8,fe69cf58b52939b8,True
SENT,sent02,101,initial_unsorted,-1,3,3701,3701,True,0742c1d994c5210c,0742c1d994c5210c,True
SENT,sent02,101,initial_unsorted,-1,4,3381,3381,True,5438acf5e6a1a65c,5438acf5e6a1a65c,True
SENT,sent02,101,initial_unsorted,-1,5,3741,3741,True,677501610f1d3c3e,677501610f1d3c3e,True
SENT,sent02,101,initial_unsorted,-1,6,4278,4278,True,aa9f81a75d63e67e,aa9f81a75d63e67e,True
SENT,sent02,101,initial_unsorted,-1,7,5135,5135,True,ea29ae8cc69c9c03,ea29ae8cc69c9c03,True
SENT,sent02,101,initial_unsorted,-1,8,5315,5315,True,3d481d3d5ee9435c,3d481d3d5ee9435c,True
SENT,sent02,101,initial_unsorted,-1,9,5422,5422,True,5ceaabb63ad1a910,5ceaabb63ad1a910,True
SENT,sent02,101,initial_unsorted,-1,10,4291,4291,True,9b4c985937c9ce3e,9b4c985937c9ce3e,True
SENT,sent02,101,initial_unsorted,-1,11,6363,6363,True,cee30a81bcd6760f,cee30a81bcd6760f,True
SENT,sent02,101,initial_unsorted,-1,12,3854,3854,True,a61acc62a301d6fb,a61acc62a301d6fb,True
SENT,sent02,101,initial_unsorted,-1,13,5142,5142,True,71f6ec7b189e58f5,71f6ec7b189e58f5,True
SENT,sent02,101,initial_unsorted,-1,14,4976,4976,True,40a4f9927e7c7033,40a4f9927e7c7033,True
SENT,sent02,101,initial_unsorted,-1,15,2626,2626,True,72f40be7e5b3bccb,72f40be7e5b3bccb,True
SENT,sent02,101,initial_unsorted,-1,16,4341,4341,True,1756a3d304c4919d,1756a3d304c4919d,True
SENT,sent02,101,initial_unsorted,-1,17,4861,4861,True,fb6b278e2f673c82,fb6b278e2f673c82,True
SENT,sent02,101,initial_unsorted,-1,18,5256,5256,True,ae10df1d64466e75,ae10df1d64466e75,True
SENT,sent02,101,initial_unsorted,-1,19,5382,5382,True,cf9162e84d98069a,cf9162e84d98069a,True
SENT,sent02,101,initial_sorted,-1,0,6363,6363,True,cee30a81bcd6760f,cee30a81bcd6760f,True
SENT,sent02,101,initial_sorted,-1,1,5450,5450,True,fe69cf58b52939b8,fe69cf58b52939b8,True
SENT,sent02,101,initial_sorted,-1,2,5422,5422,True,5ceaabb63ad1a910,5ceaabb63ad1a910,True
SENT,sent02,101,initial_sorted,-1,3,5382,5382,True,cf9162e84d98069a,cf9162e84d98069a,True
SENT,sent02,101,initial_sorted,-1,4,5315,5315,True,3d481d3d5ee9435c,3d481d3d5ee9435c,True
SENT,sent02,101,initial_sorted,-1,5,5256,5256,True,ae10df1d64466e75,ae10df1d64466e75,True
SENT,sent02,101,initial_sorted,-1,6,5142,5142,True,71f6ec7b189e58f5,71f6ec7b189e58f5,True
SENT,sent02,101,initial_sorted,-1,7,5135,5135,True,ea29ae8cc69c9c03,ea29ae8cc69c9c03,True
SENT,sent02,101,initial_sorted,-1,8,4976,4976,True,40a4f9927e7c7033,40a4f9927e7c7033,True
SENT,sent02,101,initial_sorted,-1,9,4974,4974,True,6d095755d32034da,6d095755d32034da,True
SENT,sent02,101,initial_sorted,-1,10,4861,4861,True,fb6b278e2f673c82,fb6b278e2f673c82,True
SENT,sent02,101,initial_sorted,-1,11,4341,4341,True,1756a3d304c4919d,1756a3d304c4919d,True
SENT,sent02,101,initial_sorted,-1,12,4291,4291,True,9b4c985937c9ce3e,9b4c985937c9ce3e,True
SENT,sent02,101,initial_sorted,-1,13,4278,4278,True,aa9f81a75d63e67e,aa9f81a75d63e67e,True
SENT,sent02,101,initial_sorted,-1,14,4040,4040,True,f1ef07c426d59ce4,f1ef07c426d59ce4,True
SENT,sent02,101,initial_sorted,-1,15,3854,3854,True,a61acc62a301d6fb,a61acc62a301d6fb,True
SENT,sent02,101,initial_sorted,-1,16,3741,3741,True,677501610f1d3c3e,677501610f1d3c3e,True
SENT,sent02,101,initial_sorted,-1,17,3701,3701,True,0742c1d994c5210c,0742c1d994c5210c,True
SENT,sent02,101,initial_sorted,-1,18,3381,3381,True,5438acf5e6a1a65c,5438acf5e6a1a65c,True
SENT,sent02,101,initial_sorted,-1,19,2626,2626,True,72f40be7e5b3bccb,72f40be7e5b3bccb,True
SENT,sent02,101,iteration_end,0,0,8722,8722,True,7c251f477486f35f,7c251f477486f35f,True
SENT,sent02,101,iteration_end,0,1,8642,8642,True,2725974cce0113dc,2725974cce0113dc,True
SENT,sent02,101,iteration_end,0,2,8626,8626,True,c20c9cc53b66df3e,c20c9cc53b66df3e,True
SENT,sent02,101,iteration_end,0,3,8582,8582,True,c4d4931f610339f4,c4d4931f610339f4,True
SENT,sent02,101,iteration_end,0,4,8493,8493,True,7bcb54c1f3f7fd77,7bcb54c1f3f7fd77,True
SENT,sent02,101,iteration_end,0,5,8472,8472,True,651875da378ec477,651875da378ec477,True
SENT,sent02,101,iteration_end,0,6,8403,8403,True,c031baca845df988,c031baca845df988,True
SENT,sent02,101,iteration_end,0,7,8398,8398,True,bf067d82e25a6b5b,bf067d82e25a6b5b,True
SENT,sent02,101,iteration_end,0,8,8390,8390,True,43d56eec6172166c,43d56eec6172166c,True
SENT,sent02,101,iteration_end,0,9,8362,8362,True,7d96450ab8af09af,7d96450ab8af09af,True
SENT,sent02,101,iteration_end,0,10,8333,8333,True,e45d3539c3ffaab9,e45d3539c3ffaab9,True
SENT,sent02,101,iteration_end,0,11,8201,8201,True,064889d7bb8648bc,064889d7bb8648bc,True
SENT,sent02,101,iteration_end,0,12,7981,7981,True,69063e42a6dda0f5,69063e42a6dda0f5,True
SENT,sent02,101,iteration_end,0,13,7943,7943,True,0f39d7d5ed1fe824,0f39d7d5ed1fe824,True
SENT,sent02,101,iteration_end,0,14,7675,7675,True,c7cf04afcbbb7c53,c7cf04afcbbb7c53,True
SENT,sent02,101,iteration_end,0,15,7359,7359,True,33c4a97c8a9b51ed,33c4a97c8a9b51ed,True
SENT,sent02,101,iteration_end,0,16,7251,7251,True,5c3478bebd6d6c29,5c3478bebd6d6c29,True
SENT,sent02,101,iteration_end,0,17,6866,6866,True,066c97326eeb91b9,066c97326eeb91b9,True
SENT,sent02,101,iteration_end,0,18,3381,3381,True,5438acf5e6a1a65c,5438acf5e6a1a65c,True
SENT,sent02,101,iteration_end,0,19,2626,2626,True,72f40be7e5b3bccb,72f40be7e5b3bccb,True
