dataset,problem_id,seed,phase,iteration,rank,old_fit,new_fit,fit_match,old_solution_digest,new_solution_digest,solution_match
WEING,weing2,101,initial_unsorted,-1,0,76336,76336,True,40df48b640d59fcc,40df48b640d59fcc,True
WEING,weing2,101,initial_unsorted,-1,1,99231,99231,True,2448b5ba51f906ba,2448b5ba51f906ba,True
WEING,weing2,101,initial_unsorted,-1,2,68470,68470,True,0d3a4b0e22f22721,0d3a4b0e22f22721,True
WEING,weing2,101,initial_unsorted,-1,3,113859,113859,True,919a0be33824b1a5,919a0be33824b1a5,True
WEING,weing2,101,initial_unsorted,-1,4,87155,87155,True,807df272a2a659af,807df272a2a659af,True
WEING,weing2,101,initial_unsorted,-1,5,60706,60706,True,66455354c3be8e6c,66455354c3be8e6c,True
WEING,weing2,101,initial_unsorted,-1,6,97323,97323,True,e522e564733db273,e522e564733db273,True
WEING,weing2,101,initial_unsorted,-1,7,73990,73990,True,07d89ae8cf8bee38,07d89ae8cf8bee38,True
WEING,weing2,101,initial_unsorted,-1,8,106226,106226,True,d8d6410f345bd21e,d8d6410f345bd21e,True
WEING,weing2,101,initial_unsorted,-1,9,74786,74786,True,16ddb75295d9c6ab,16ddb75295d9c6ab,True
WEING,weing2,101,initial_unsorted,-1,10,69748,69748,True,f487f5af153b1712,f487f5af153b1712,True
WEING,weing2,101,initial_unsorted,-1,11,18205,18205,True,155b0f645490c9a9,155b0f645490c9a9,True
WEING,weing2,101,initial_unsorted,-1,12,119795,119795,True,85e0292bf455e3e5,85e0292bf455e3e5,True
WEING,weing2,101,initial_unsorted,-1,13,76688,76688,True,422b43daea5f2356,422b43daea5f2356,True
WEING,weing2,101,initial_unsorted,-1,14,37860,37860,True,a1d9dfd44ea70e6b,a1d9dfd44ea70e6b,True
WEING,weing2,101,initial_unsorted,-1,15,74296,74296,True,248abdefa5df5408,248abdefa5df5408,True
WEING,weing2,101,initial_unsorted,-1,16,81267,81267,True,a804d4ed0478d967,a804d4ed0478d967,True
WEING,weing2,101,initial_unsorted,-1,17,88135,88135,True,8e85f9f9278864ca,8e85f9f9278864ca,True
WEING,weing2,101,initial_unsorted,-1,18,53084,53084,True,1a37bf0f3c337b68,1a37bf0f3c337b68,True
WEING,weing2,101,initial_unsorted,-1,19,56057,56057,True,5af6be39f84547f7,5af6be39f84547f7,True
WEING,weing2,101,initial_sorted,-1,0,119795,119795,True,85e0292bf455e3e5,85e0292bf455e3e5,True
WEING,weing2,101,initial_sorted,-1,1,113859,113859,True,919a0be33824b1a5,919a0be33824b1a5,True
WEING,weing2,101,initial_sorted,-1,2,106226,106226,True,d8d6410f345bd21e,d8d6410f345bd21e,True
WEING,weing2,101,initial_sorted,-1,3,99231,99231,True,2448b5ba51f906ba,2448b5ba51f906ba,True
WEING,weing2,101,initial_sorted,-1,4,97323,97323,True,e522e564733db273,e522e564733db273,True
WEING,weing2,101,initial_sorted,-1,5,88135,88135,True,8e85f9f9278864ca,8e85f9f9278864ca,True
WEING,weing2,101,initial_sorted,-1,6,87155,87155,True,807df272a2a659af,807df272a2a659af,True
WEING,weing2,101,initial_sorted,-1,7,81267,81267,True,a804d4ed0478d967,a804d4ed0478d967,True
WEING,weing2,101,initial_sorted,-1,8,76688,76688,True,422b43daea5f2356,422b43daea5f2356,True
WEING,weing2,101,initial_sorted,-1,9,76336,76336,True,40df48b640d59fcc,40df48b640d59fcc,True
WEING,weing2,101,initial_sorted,-1,10,74786,74786,True,16ddb75295d9c6ab,16ddb75295d9c6ab,True
WEING,weing2,101,initial_sorted,-1,11,74296,74296,True,248abdefa5df5408,248abdefa5df5408,True
WEING,weing2,101,initial_sorted,-1,12,73990,73990,True,07d89ae8cf8bee38,07d89ae8cf8bee38,True
WEING,weing2,101,initial_sorted,-1,13,69748,69748,True,f487f5af153b1712,f487f5af153b1712,True
WEING,weing2,101,initial_sorted,-1,14,68470,68470,True,0d3a4b0e22f22721,0d3a4b0e22f22721,True
WEING,weing2,101,initial_sorted,-1,15,60706,60706,True,66455354c3be8e6c,66455354c3be8e6c,True
WEING,weing2,101,initial_sorted,-1,16,56057,56057,True,5af6be39f84547f7,5af6be39f84547f7,True
WEING,weing2,101,initial_sorted,-1,17,53084,53084,True,1a37bf0f3c337b68,1a37bf0f3c337b68,True
WEING,weing2,101,initial_sorted,-1,18,37860,37860,True,a1d9dfd44ea70e6b,a1d9dfd44ea70e6b,True
WEING,weing2,101,initial_sorted,-1,19,18205,18205,True,155b0f645490c9a9,155b0f645490c9a9,True
WEING,weing2,101,iteration_end,0,0,130013,130013,True,9a7572cb55bf64f8,9a7572cb55bf64f8,True
WEING,weing2,101,iteration_end,0,1,130013,130013,True,9a7572cb55bf64f8,9a7572cb55bf64f8,True
WEING,weing2,101,iteration_end,0,2,125300,125300,True,6a81bb28c2eaa83d,6a81bb28c2eaa83d,True
WEING,weing2,101,iteration_end,0,3,124155,124155,True,ae7ad35bb0719854,ae7ad35bb0719854,True
WEING,weing2,101,iteration_end,0,4,123910,123910,True,95f61bf26737bc58,95f61bf26737bc58,True
WEING,weing2,101,iteration_end,0,5,123190,123190,True,1bef17d9da5dd61f,1bef17d9da5dd61f,True
WEING,weing2,101,iteration_end,0,6,122484,122484,True,dc5ca8af916cc0cf,dc5ca8af916cc0cf,True
WEING,weing2,101,iteration_end,0,7,122318,122318,True,675b67107c044e9b,675b67107c044e9b,True
WEING,weing2,101,iteration_end,0,8,121344,121344,True,aad0977ec5503e89,aad0977ec5503e89,True
WEING,weing2,101,iteration_end,0,9,120750,120750,True,503342e416595d78,503342e416595d78,True
WEING,weing2,101,iteration_end,0,10,120701,120701,True,ee7bde554f302f56,ee7bde554f302f56,True
WEING,weing2,101,iteration_end,0,11,119732,119732,True,7f649cb3ab200f28,7f649cb3ab200f28,True
WEING,weing2,101,iteration_end,0,12,117725,117725,True,909b5dd3322f4827,909b5dd3322f4827,True
WEING,weing2,101,iteration_end,0,13,116470,116470,True,ca70574183c907a6,ca70574183c907a6,True
WEING,weing2,101,iteration_end,0,14,114534,114534,True,2793c01eb78123c7,2793c01eb78123c7,True
WEING,weing2,101,iteration_end,0,15,114304,114304,True,d269897525dc4e4e,d269897525dc4e4e,True
WEING,weing2,101,iteration_end,0,16,113045,113045,True,b7ede946e9d5d19f,b7ede946e9d5d19f,True
WEING,weing2,101,iteration_end,0,17,112383,112383,True,099e53af55b83170,099e53af55b83170,True
WEING,weing2,101,iteration_end,0,18,111917,111917,True,b80eb44d12dcf490,b80eb44d12dcf490,True
WEING,weing2,101,iteration_end,0,19,108577,108577,True,45056634b93078f2,45056634b93078f2,True
WEING,weing2,101,iteration_end,1,0,130723,130723,True,b38b28683d530505,b38b28683d530505,True
WEING,weing2,101,iteration_end,1,1,130013,130013,True,9a7572cb55bf64f8,9a7572cb55bf64f8,True
WEING,weing2,101,iteration_end,1,2,129183,129183,True,4e2ed6d3ae5bfb8e,4e2ed6d3ae5bfb8e,True
WEING,weing2,101,iteration_end,1,3,128883,128883,True,123e00ed64b806bd,123e00ed64b806bd,True
WEING,weing2,101,iteration_end,1,4,128563,128563,True,f3d391bc01e700d6,f3d391bc01e700d6,True
WEING,weing2,101,iteration_end,1,5,124835,124835,True,d724123f1f30c008,d724123f1f30c008,True
WEING,weing2,101,iteration_end,1,6,124430,124430,True,fb7d9ebedbe5d27d,fb7d9ebedbe5d27d,True
WEING,weing2,101,iteration_end,1,7,124155,124155,True,ae7ad35bb0719854,ae7ad35bb0719854,True
WEING,weing2,101,iteration_end,1,8,123685,123685,True,5c177fd4806d9cf0,5c177fd4806d9cf0,True
WEING,weing2,101,iteration_end,1,9,123190,123190,True,1bef17d9da5dd61f,1bef17d9da5dd61f,True
WEING,weing2,101,iteration_end,1,10,122818,122818,True,2beee8e2722070fc,2beee8e2722070fc,True
WEING,weing2,101,iteration_end,1,11,122318,122318,True,675b67107c044e9b,675b67107c044e9b,True
WEING,weing2,101,iteration_end,1,12,120701,120701,True,ee7bde554f302f56,ee7bde554f302f56,True
WEING,weing2,101,iteration_end,1,13,119871,119871,True,500e441357166b46,500e441357166b46,True
WEING,weing2,101,iteration_end,1,14,117929,117929,True,6ec59a2f95c39848,6ec59a2f95c39848,True
WEING,weing2,101,iteration_end,1,15,117149,117149,True,0f03a4b7ee5d701f,0f03a4b7ee5d701f,True
WEING,weing2,101,iteration_end,1,16,114534,114534,True,2793c01eb78123c7,2793c01eb78123c7,True
WEING,weing2,101,iteration_end,1,17,113045,113045,True,b7ede946e9d5d19f,b7ede946e9d5d19f,True
WEING,weing2,101,iteration_end,1,18,113018,113018,True,78258d8c303f9898,78258d8c303f9898,True
WEING,weing2,101,iteration_end,1,19,112578,112578,True,66dc03cd7982b3a3,66dc03cd7982b3a3,True
WEING,weing2,101,iteration_end,2,0,130723,130723,True,b38b28683d530505,b38b28683d530505,True
WEING,weing2,101,iteration_end,2,1,130723,130723,True,b38b28683d530505,b38b28683d530505,True
WEING,weing2,101,iteration_end,2,2,130723,130723,True,b38b28683d530505,b38b28683d530505,True
WEING,weing2,101,iteration_end,2,3,130723,130723,True,b38b28683d530505,b38b28683d530505,True
WEING,weing2,101,iteration_end,2,4,130013,130013,True,9a7572cb55bf64f8,9a7572cb55bf64f8,True
WEING,weing2,101,iteration_end,2,5,129788,129788,True,3cde094517811e08,3cde094517811e08,True
WEING,weing2,101,iteration_end,2,6,129183,129183,True,4e2ed6d3ae5bfb8e,4e2ed6d3ae5bfb8e,True
WEING,weing2,101,iteration_end,2,7,128883,128883,True,123e00ed64b806bd,123e00ed64b806bd,True
WEING,weing2,101,iteration_end,2,8,128548,128548,True,bdf0a5d5a5f72b92,bdf0a5d5a5f72b92,True
WEING,weing2,101,iteration_end,2,9,128138,128138,True,f3257bd497f341ec,f3257bd497f341ec,True
WEING,weing2,101,iteration_end,2,10,128028,128028,True,90baa267c025a625,90baa267c025a625,True
WEING,weing2,101,iteration_end,2,11,124067,124067,True,a3f837abe8636264,a3f837abe8636264,True
WEING,weing2,101,iteration_end,2,12,124025,124025,True,1a19fa671034e278,1a19fa671034e278,True
WEING,weing2,101,iteration_end,2,13,123685,123685,True,5c177fd4806d9cf0,5c177fd4806d9cf0,True
WEING,weing2,101,iteration_end,2,14,122975,122975,True,9031baf9e7f64f7e,9031baf9e7f64f7e,True
WEING,weing2,101,iteration_end,2,15,122318,122318,True,675b67107c044e9b,675b67107c044e9b,True
WEING,weing2,101,iteration_end,2,16,120701,120701,True,ee7bde554f302f56,ee7bde554f302f56,True
WEING,weing2,101,iteration_end,2,17,119670,119670,True,b1eab49f5787db81,b1eab49f5787db81,True
WEING,weing2,101,iteration_end,2,18,118501,118501,True,96fca84fdb494628,96fca84fdb494628,True
WEING,weing2,101,iteration_end,2,19,116327,116327,True,4393bdc41f4672c4,4393bdc41f4672c4,True
WEING,weing2,101,iteration_end,3,0,130723,130723,True,b38b28683d530505,b38b28683d530505,True
