dataset,problem_id,seed,phase,iteration,rank,old_fit,new_fit,fit_match,old_solution_digest,new_solution_digest,solution_match
WEISH,weish01,101,initial_unsorted,-1,0,2659,2659,True,62cd48f5defa5256,62cd48f5defa5256,True
WEISH,weish01,101,initial_unsorted,-1,1,3462,3462,True,0223c511c843908f,0223c511c843908f,True
WEISH,weish01,101,initial_unsorted,-1,2,2020,2020,True,beb831917b88db36,beb831917b88db36,True
WEISH,weish01,101,initial_unsorted,-1,3,2918,2918,True,9be9063e9b0edf9e,9be9063e9b0edf9e,True
WEISH,weish01,101,initial_unsorted,-1,4,3551,3551,True,106549e4ee428431,106549e4ee428431,True
WEISH,weish01,101,initial_unsorted,-1,5,2286,2286,True,6c1dbfaf93b55195,6c1dbfaf93b55195,True
WEISH,weish01,101,initial_unsorted,-1,6,1261,1261,True,567fc878c5d3428c,567fc878c5d3428c,True
WEISH,weish01,101,initial_unsorted,-1,7,2866,2866,True,55a7c5a25e3948d4,55a7c5a25e3948d4,True
WEISH,weish01,101,initial_unsorted,-1,8,2100,2100,True,63177961eb1bdd6d,63177961eb1bdd6d,True
WEISH,weish01,101,initial_unsorted,-1,9,1652,1652,True,71e84407a2e88441,71e84407a2e88441,True
WEISH,weish01,101,initial_unsorted,-1,10,2260,2260,True,7611a591a1390f5f,7611a591a1390f5f,True
WEISH,weish01,101,initial_unsorted,-1,11,3298,3298,True,2c52a17f0fb6f74c,2c52a17f0fb6f74c,True
WEISH,weish01,101,initial_unsorted,-1,12,2564,2564,True,68b22a6d6a58a6c2,68b22a6d6a58a6c2,True
WEISH,weish01,101,initial_unsorted,-1,13,1753,1753,True,cc1c944b564043c2,cc1c944b564043c2,True
WEISH,weish01,101,initial_unsorted,-1,14,2376,2376,True,46c75f4301b3d2de,46c75f4301b3d2de,True
WEISH,weish01,101,initial_unsorted,-1,15,1829,1829,True,a6758a13642b743c,a6758a13642b743c,True
WEISH,weish01,101,initial_unsorted,-1,16,3917,3917,True,275fa19993e4b7f7,275fa19993e4b7f7,True
WEISH,weish01,101,initial_unsorted,-1,17,1920,1920,True,709b2b6e82f3eac7,709b2b6e82f3eac7,True
WEISH,weish01,101,initial_unsorted,-1,18,2978,2978,True,04305ac904031a09,04305ac904031a09,True
WEISH,weish01,101,initial_unsorted,-1,19,1386,1386,True,bf07ba0d6b7ae97c,bf07ba0d6b7ae97c,True
WEISH,weish01,101,initial_sorted,-1,0,3917,3917,True,275fa19993e4b7f7,275fa19993e4b7f7,True
WEISH,weish01,101,initial_sorted,-1,1,3551,3551,True,106549e4ee428431,106549e4ee428431,True
WEISH,weish01,101,initial_sorted,-1,2,3462,3462,True,0223c511c843908f,0223c511c843908f,True
WEISH,weish01,101,initial_sorted,-1,3,3298,3298,True,2c52a17f0fb6f74c,2c52a17f0fb6f74c,True
WEISH,weish01,101,initial_sorted,-1,4,2978,2978,True,04305ac904031a09,04305ac904031a09,True
WEISH,weish01,101,initial_sorted,-1,5,2918,2918,True,9be9063e9b0edf9e,9be9063e9b0edf9e,True
WEISH,weish01,101,initial_sorted,-1,6,2866,2866,True,55a7c5a25e3948d4,55a7c5a25e3948d4,True
WEISH,weish01,101,initial_sorted,-1,7,2659,2659,True,62cd48f5defa5256,62cd48f5defa5256,True
WEISH,weish01,101,initial_sorted,-1,8,2564,2564,True,68b22a6d6a58a6c2,68b22a6d6a58a6c2,True
WEISH,weish01,101,initial_sorted,-1,9,2376,2376,True,46c75f4301b3d2de,46c75f4301b3d2de,True
WEISH,weish01,101,initial_sorted,-1,10,2286,2286,True,6c1dbfaf93b55195,6c1dbfaf93b55195,True
WEISH,weish01,101,initial_sorted,-1,11,2260,2260,True,7611a591a1390f5f,7611a591a1390f5f,True
WEISH,weish01,101,initial_sorted,-1,12,2100,2100,True,63177961eb1bdd6d,63177961eb1bdd6d,True
WEISH,weish01,101,initial_sorted,-1,13,2020,2020,True,beb831917b88db36,beb831917b88db36,True
WEISH,weish01,101,initial_sorted,-1,14,1920,1920,True,709b2b6e82f3eac7,709b2b6e82f3eac7,True
WEISH,weish01,101,initial_sorted,-1,15,1829,1829,True,a6758a13642b743c,a6758a13642b743c,True
WEISH,weish01,101,initial_sorted,-1,16,1753,1753,True,cc1c944b564043c2,cc1c944b564043c2,True
WEISH,weish01,101,initial_sorted,-1,17,1652,1652,True,71e84407a2e88441,71e84407a2e88441,True
WEISH,weish01,101,initial_sorted,-1,18,1386,1386,True,bf07ba0d6b7ae97c,bf07ba0d6b7ae97c,True
WEISH,weish01,101,initial_sorted,-1,19,1261,1261,True,567fc878c5d3428c,567fc878c5d3428c,True
WEISH,weish01,101,iteration_end,0,0,4549,4549,True,d2fe41eda0ab902d,d2fe41eda0ab902d,True
WEISH,weish01,101,iteration_end,0,1,4530,4530,True,2b131623e4ed1d16,2b131623e4ed1d16,True
WEISH,weish01,101,iteration_end,0,2,4519,4519,True,6f8f01a92b2790bd,6f8f01a92b2790bd,True
WEISH,weish01,101,iteration_end,0,3,4516,4516,True,1eb3a9efff9937c8,1eb3a9efff9937c8,True
WEISH,weish01,101,iteration_end,0,4,4475,4475,True,daee8eca1943cdce,daee8eca1943cdce,True
WEISH,weish01,101,iteration_end,0,5,4356,4356,True,dbd24dbd63200304,dbd24dbd63200304,True
WEISH,weish01,101,iteration_end,0,6,4289,4289,True,23663de9ae4629d1,23663de9ae4629d1,True
WEISH,weish01,101,iteration_end,0,7,4257,4257,True,7e44503660d29534,7e44503660d29534,True
WEISH,weish01,101,iteration_end,0,8,4089,4089,True,0745b1079d1cd5ec,0745b1079d1cd5ec,True
WEISH,weish01,101,iteration_end,0,9,4074,4074,True,1a0d456c0680d0fa,1a0d456c0680d0fa,True
WEISH,weish01,101,iteration_end,0,10,4021,4021,True,c81431ca9766709c,c81431ca9766709c,True
WEISH,weish01,101,iteration_end,0,11,4013,4013,True,39044472b5577323,39044472b5577323,True
WEISH,weish01,101,iteration_end,0,12,4002,4002,True,feb35ea8f74d3314,feb35ea8f74d3314,True
WEISH,weish01,101,iteration_end,0,13,3993,3993,True,ddbf847d42ed32ca,ddbf847d42ed32ca,True
WEISH,weish01,101,iteration_end,0,14,3928,3928,True,3b1d869a9d9b2407,3b1d869a9d9b2407,True
WEISH,weish01,101,iteration_end,0,15,3863,3863,True,fa4cb4c1aa7c7e95,fa4cb4c1aa7c7e95,True
WEISH,weish01,101,iteration_end,0,16,3806,3806,True,713ca1e540ca65d9,713ca1e540ca65d9,True
WEISH,weish01,101,iteration_end,0,17,3531,3531,True,9aba6478ce33a4f3,9aba6478ce33a4f3,True
WEISH,weish01,101,iteration_end,0,18,3150,3150,True,d84882a752409e93,d84882a752409e93,True
WEISH,weish01,101,iteration_end,0,19,2682,2682,True,6b60c781ec5593b8,6b60c781ec5593b8,True
WEISH,weish01,101,iteration_end,1,0,4549,4549,True,d2fe41eda0ab902d,d2fe41eda0ab902d,True
WEISH,weish01,101,iteration_end,1,1,4530,4530,True,2b131623e4ed1d16,2b131623e4ed1d16,True
WEISH,weish01,101,iteration_end,1,2,4516,4516,True,1eb3a9efff9937c8,1eb3a9efff9937c8,True
WEISH,weish01,101,iteration_end,1,3,4516,4516,True,1eb3a9efff9937c8,1eb3a9efff9937c8,True
WEISH,weish01,101,iteration_end,1,4,4475,4475,True,daee8eca1943cdce,daee8eca1943cdce,True
WEISH,weish01,101,iteration_end,1,5,4475,4475,True,daee8eca1943cdce,daee8eca1943cdce,True
WEISH,weish01,101,iteration_end,1,6,4475,4475,True,daee8eca1943cdce,daee8eca1943cdce,True
WEISH,weish01,101,iteration_end,1,7,4475,4475,True,daee8eca1943cdce,daee8eca1943cdce,True
WEISH,weish01,101,iteration_end,1,8,4369,4369,True,63e0cafc325bcef8,63e0cafc325bcef8,True
WEISH,weish01,101,iteration_end,1,9,4329,4329,True,547136bbf914c68c,547136bbf914c68c,True
WEISH,weish01,101,iteration_end,1,10,4305,4305,True,3934f3ea4bf6b792,3934f3ea4bf6b792,True
WEISH,weish01,101,iteration_end,1,11,4281,4281,True,3fb7552bfb4ace48,3fb7552bfb4ace48,True
WEISH,weish01,101,iteration_end,1,12,4169,4169,True,9720ba8fd816f8b1,9720ba8fd816f8b1,True
WEISH,weish01,101,iteration_end,1,13,4156,4156,True,1d51df66194a12f7,1d51df66194a12f7,True
WEISH,weish01,101,iteration_end,1,14,4132,4132,True,4d5d9cb8c7784c33,4d5d9cb8c7784c33,True
WEISH,weish01,101,iteration_end,1,15,4021,4021,True,c81431ca9766709c,c81431ca9766709c,True
WEISH,weish01,101,iteration_end,1,16,4002,4002,True,feb35ea8f74d3314,feb35ea8f74d3314,True
WEISH,weish01,101,iteration_end,1,17,3993,3993,True,ddbf847d42ed32ca,ddbf847d42ed32ca,True
WEISH,weish01,101,iteration_end,1,18,3932,3932,True,3aa360635dd94e3c,3aa360635dd94e3c,True
