dataset,problem_id,seed,max_iterations,pop_size,z,initial_unsorted_match,initial_sorted_match,population_trace_match,final_objective_old,final_objective_new,final_solution_match,old_stop_iteration,new_stop_iteration,old_stop_reason,new_stop_reason,first_mismatch_phase,first_mismatch_iteration,first_mismatch_rank,first_mismatch_field,trace_csv,all_match
HP,hp1,101,5000,20,0.08,True,True,True,3418,3418,True,19,19,best_known_reached,best_known_reached,,,,,traces/HP_hp1_population.csv,True
HP,hp2,101,5000,20,0.08,True,True,True,3167,3167,True,4999,4999,max_iterations_reached,max_iterations_reached,,,,,traces/HP_hp2_population.csv,True
PB,pb1,101,5000,20,0.08,True,True,True,3090,3090,True,3895,3895,best_known_reached,best_known_reached,,,,,traces/PB_pb1_population.csv,True
PB,pb2,101,5000,20,0.08,True,True,True,3186,3186,True,415,415,best_known_reached,best_known_reached,,,,,traces/PB_pb2_population.csv,True
PET,pet2,101,5000,20,0.08,True,True,True,87061,87061,True,10,10,best_known_reached,best_known_reached,,,,,traces/PET_pet2_population.csv,True
PET,pet3,101,5000,20,0.08,True,True,True,4015,4015,True,18,18,best_known_reached,best_known_reached,,,,,traces/PET_pet3_population.csv,True
SENT,sent01,101,5000,20,0.08,True,True,True,7772,7772,True,121,121,best_known_reached,best_known_reached,,,,,traces/SENT_sent01_population.csv,True
SENT,sent02,101,5000,20,0.08,True,True,True,8722,8722,True,1,1,best_known_reached,best_known_reached,,,,,traces/SENT_sent02_population.csv,True
WEING,weing1,101,5000,20,0.08,True,True,True,141278,141278,True,1,1,best_known_reached,best_known_reached,,,,,traces/WEING_weing1_population.csv,True
WEING,weing2,101,5000,20,0.08,True,True,True,130883,130883,True,29,29,best_known_reached,best_known_reached,,,,,traces/WEING_weing2_population.csv,True
WEISH,weish01,101,5000,20,0.08,True,True,True,4554,4554,True,8,8,best_known_reached,best_known_reached,,,,,traces/WEISH_weish01_population.csv,True
WEISH,weish02,101,5000,20,0.08,True,True,True,4536,4536,True,11,11,best_known_reached,best_known_reached,,,,,traces/WEISH_weish02_population.csv,True
