dataset,problem_id,seed,phase,iteration,rank,old_fit,new_fit,fit_match,old_solution_digest,new_solution_digest,solution_match
HP,hp1,101,initial_unsorted,-1,0,2468,2468,True,58189d8cbf82273d,58189d8cbf82273d,True
HP,hp1,101,initial_unsorted,-1,1,1431,1431,True,7978f62a0e8df03a,7978f62a0e8df03a,True
HP,hp1,101,initial_unsorted,-1,2,1852,1852,True,24bb37359f25b1e8,24bb37359f25b1e8,True
HP,hp1,101,initial_unsorted,-1,3,2971,2971,True,96d13e385456dc01,96d13e385456dc01,True
HP,hp1,101,initial_unsorted,-1,4,2955,2955,True,d5988ac65df2a478,d5988ac65df2a478,True
HP,hp1,101,initial_unsorted,-1,5,1278,1278,True,b2e8cec1be1a5666,b2e8cec1be1a5666,True
HP,hp1,101,initial_unsorted,-1,6,1789,1789,True,30e17f437266d9f5,30e17f437266d9f5,True
HP,hp1,101,initial_unsorted,-1,7,2813,2813,True,ddc6d01d3fc9b682,ddc6d01d3fc9b682,True
HP,hp1,101,initial_unsorted,-1,8,2434,2434,True,e260a88659bc867c,e260a88659bc867c,True
HP,hp1,101,initial_unsorted,-1,9,2122,2122,True,17f46b93e307c77f,17f46b93e307c77f,True
HP,hp1,101,initial_unsorted,-1,10,2133,2133,True,0ab63c53dee50ac8,0ab63c53dee50ac8,True
HP,hp1,101,initial_unsorted,-1,11,2254,2254,True,411506bab3b45fa6,411506bab3b45fa6,True
HP,hp1,101,initial_unsorted,-1,12,3079,3079,True,23b5799cee0d2eb6,23b5799cee0d2eb6,True
HP,hp1,101,initial_unsorted,-1,13,2360,2360,True,6ac5f73f375312c5,6ac5f73f375312c5,True
HP,hp1,101,initial_unsorted,-1,14,2620,2620,True,adc771473377d9b0,adc771473377d9b0,True
HP,hp1,101,initial_unsorted,-1,15,1827,1827,True,ffdc84b821d97c2e,ffdc84b821d97c2e,True
HP,hp1,101,initial_unsorted,-1,16,2915,2915,True,74f3e7bea0e89a27,74f3e7bea0e89a27,True
HP,hp1,101,initial_unsorted,-1,17,2152,2152,True,6b630e6e86f847f2,6b630e6e86f847f2,True
HP,hp1,101,initial_unsorted,-1,18,1838,1838,True,dd3e7c5cac806b21,dd3e7c5cac806b21,True
HP,hp1,101,initial_unsorted,-1,19,2158,2158,True,61c5560ebd85f082,61c5560ebd85f082,True
HP,hp1,101,initial_sorted,-1,0,3079,3079,True,23b5799cee0d2eb6,23b5799cee0d2eb6,True
HP,hp1,101,initial_sorted,-1,1,2971,2971,True,96d13e385456dc01,96d13e385456dc01,True
HP,hp1,101,initial_sorted,-1,2,2955,2955,True,d5988ac65df2a478,d5988ac65df2a478,True
HP,hp1,101,initial_sorted,-1,3,2915,2915,True,74f3e7bea0e89a27,74f3e7bea0e89a27,True
HP,hp1,101,initial_sorted,-1,4,2813,2813,True,ddc6d01d3fc9b682,ddc6d01d3fc9b682,True
HP,hp1,101,initial_sorted,-1,5,2620,2620,True,adc771473377d9b0,adc771473377d9b0,True
HP,hp1,101,initial_sorted,-1,6,2468,2468,True,58189d8cbf82273d,58189d8cbf82273d,True
HP,hp1,101,initial_sorted,-1,7,2434,2434,True,e260a88659bc867c,e260a88659bc867c,True
HP,hp1,101,initial_sorted,-1,8,2360,2360,True,6ac5f73f375312c5,6ac5f73f375312c5,True
HP,hp1,101,initial_sorted,-1,9,2254,2254,True,411506bab3b45fa6,411506bab3b45fa6,True
HP,hp1,101,initial_sorted,-1,10,2158,2158,True,61c5560ebd85f082,61c5560ebd85f082,True
HP,hp1,101,initial_sorted,-1,11,2152,2152,True,6b630e6e86f847f2,6b630e6e86f847f2,True
HP,hp1,101,initial_sorted,-1,12,2133,2133,True,0ab63c53dee50ac8,0ab63c53dee50ac8,True
HP,hp1,101,initial_sorted,-1,13,2122,2122,True,17f46b93e307c77f,17f46b93e307c77f,True
HP,hp1,101,initial_sorted,-1,14,1852,1852,True,24bb37359f25b1e8,24bb37359f25b1e8,True
HP,hp1,101,initial_sorted,-1,15,1838,1838,True,dd3e7c5cac806b21,dd3e7c5cac806b21,True
HP,hp1,101,initial_sorted,-1,16,1827,1827,True,ffdc84b821d97c2e,ffdc84b821d97c2e,True
HP,hp1,101,initial_sorted,-1,17,1789,1789,True,30e17f437266d9f5,30e17f437266d9f5,True
HP,hp1,101,initial_sorted,-1,18,1431,1431,True,7978f62a0e8df03a,7978f62a0e8df03a,True
HP,hp1,101,initial_sorted,-1,19,1278,1278,True,b2e8cec1be1a5666,b2e8cec1be1a5666,True
HP,hp1,101,iteration_end,0,0,3347,3347,True,64219c725a7e5d54,64219c725a7e5d54,True
HP,hp1,101,iteration_end,0,1,3227,3227,True,b36c351d00be7ace,b36c351d00be7ace,True
HP,hp1,101,iteration_end,0,2,3161,3161,True,f965b204b850569d,f965b204b850569d,True
HP,hp1,101,iteration_end,0,3,3078,3078,True,0bafe059e02fa69d,0bafe059e02fa69d,True
HP,hp1,101,iteration_end,0,4,3078,3078,True,0bafe059e02fa69d,0bafe059e02fa69d,True
HP,hp1,101,iteration_end,0,5,3078,3078,True,0bafe059e02fa69d,0bafe059e02fa69d,True
HP,hp1,101,iteration_end,0,6,3078,3078,True,0bafe059e02fa69d,0bafe059e02fa69d,True
HP,hp1,101,iteration_end,0,7,3078,3078,True,0bafe059e02fa69d,0bafe059e02fa69d,True
HP,hp1,101,iteration_end,0,8,3078,3078,True,0bafe059e02fa69d,0bafe059e02fa69d,True
HP,hp1,101,iteration_end,0,9,3078,3078,True,0bafe059e02fa69d,0bafe059e02fa69d,True
HP,hp1,101,iteration_end,0,10,3078,3078,True,0bafe059e02fa69d,0bafe059e02fa69d,True
HP,hp1,101,iteration_end,0,11,3078,3078,True,0bafe059e02fa69d,0bafe059e02fa69d,True
HP,hp1,101,iteration_end,0,12,3078,3078,True,0bafe059e02fa69d,0bafe059e02fa69d,True
HP,hp1,101,iteration_end,0,13,2897,2897,True,902269ec07860aff,902269ec07860aff,True
HP,hp1,101,iteration_end,0,14,2844,2844,True,6fda1253c506081f,6fda1253c506081f,True
HP,hp1,101,iteration_end,0,15,2650,2650,True,8afbcd289fd09a8e,8afbcd289fd09a8e,True
HP,hp1,101,iteration_end,0,16,2643,2643,True,29835dbc37c1996e,29835dbc37c1996e,True
HP,hp1,101,iteration_end,0,17,2637,2637,True,aa4d1f4dab7c8436,aa4d1f4dab7c8436,True
HP,hp1,101,iteration_end,0,18,2567,2567,True,880e3647ac220f29,880e3647ac220f29,True
HP,hp1,101,iteration_end,0,19,2449,2449,True,e57566ef5522bc78,e57566ef5522bc78,True
HP,hp1,101,iteration_end,1,0,3347,3347,True,64219c725a7e5d54,64219c725a7e5d54,True
HP,hp1,101,iteration_end,1,1,3347,3347,True,64219c725a7e5d54,64219c725a7e5d54,True
HP,hp1,101,iteration_end,1,2,3347,3347,True,64219c725a7e5d54,64219c725a7e5d54,True
HP,hp1,101,iteration_end,1,3,3279,3279,True,c694e8afe8a6422f,c694e8afe8a6422f,True
HP,hp1,101,iteration_end,1,4,3279,3279,True,c694e8afe8a6422f,c694e8afe8a6422f,True
HP,hp1,101,iteration_end,1,5,3231,3231,True,1de0170765405026,1de0170765405026,True
HP,hp1,101,iteration_end,1,6,3207,3207,True,862b9ff0b2622f6d,862b9ff0b2622f6d,True
HP,hp1,101,iteration_end,1,7,3159,3159,True,1f0542f9d0d966ca,1f0542f9d0d966ca,True
HP,hp1,101,iteration_end,1,8,3099,3099,True,3bf80076aa1c7096,3bf80076aa1c7096,True
HP,hp1,101,iteration_end,1,9,3078,3078,True,0bafe059e02fa69d,0bafe059e02fa69d,True
HP,hp1,101,iteration_end,1,10,3078,3078,True,0bafe059e02fa69d,0bafe059e02fa69d,True
HP,hp1,101,iteration_end,1,11,3078,3078,True,0bafe059e02fa69d,0bafe059e02fa69d,True
HP,hp1,101,iteration_end,1,12,3078,3078,True,0bafe059e02fa69d,0bafe059e02fa69d,True
HP,hp1,101,iteration_end,1,13,3045,3045,True,2517aa7c4a52a3f1,2517aa7c4a52a3f1,True
HP,hp1,101,iteration_end,1,14,3031,3031,True,8a4f319085d13469,8a4f319085d13469,True
HP,hp1,101,iteration_end,1,15,3031,3031,True,8a4f319085d13469,8a4f319085d13469,True
HP,hp1,101,iteration_end,1,16,3030,3030,True,6736b2e67403701e,6736b2e67403701e,True
HP,hp1,101,iteration_end,1,17,2983,2983,True,570514387bce5d9e,570514387bce5d9e,True
HP,hp1,101,iteration_end,1,18,2887,2887,True,8094ae59c3f7844f,8094ae59c3f7844f,True
HP,hp1,101,iteration_end,1,19,2688,2688,True,f1b6134b3a880661,f1b6134b3a880661,True
HP,hp1,101,iteration_end,2,0,3347,3347,True,64219c725a7e5d54,64219c725a7e5d54,True
HP,hp1,101,iteration_end,2,1,3347,3347,True,64219c725a7e5d54,64219c725a7e5d54,True
HP,hp1,101,iteration_end,2,2,3347,3347,True,64219c725a7e5d54,64219c725a7e5d54,True
HP,hp1,101,iteration_end,2,3,3347,3347,True,64219c725a7e5d54,64219c725a7e5d54,True
HP,hp1,101,iteration_end,2,4,3323,3323,True,7a1ec73ccb65912d,7a1ec73ccb65912d,True
HP,hp1,101,iteration_end,2,5,3321,3321,True,97dff9507ebd114f,97dff9507ebd114f,True
HP,hp1,101,iteration_end,2,6,3298,3298,True,8641ece6ca74b093,8641ece6ca74b093,True
HP,hp1,101,iteration_end,2,7,3298,3298,True,8641ece6ca74b093,8641ece6ca74b093,True
HP,hp1,101,iteration_end,2,8,3270,3270,True,d870cd669c3a0501,d870cd669c3a0501,True
HP,hp1,101,iteration_end,2,9,3159,3159,True,1f0542f9d0d966ca,1f0542f9d0d966ca,True
HP,hp1,101,iteration_end,2,10,3092,3092,True,a3073f1cd4b2ce14,a3073f1cd4b2ce14,True
HP,hp1,101,iteration_end,2,11,3078,3078,True,0bafe059e02fa69d,0bafe059e02fa69d,True
HP,hp1,101,iteration_end,2,12,3078,3078,True,0bafe059e02fa69d,0bafe059e02fa69d,True
HP,hp1,101,iteration_end,2,13,3031,3031,True,8a4f319085d13469,8a4f319085d13469,True
HP,hp1,101,iteration_end,2,14,3031,3031,True,8a4f319085d13469,8a4f319085d13469,True
HP,hp1,101,iteration_end,2,15,3006,3006,True,74f87c775e751ef7,74f87c775e751ef7,True
HP,hp1,101,iteration_end,2,16,2902,2902,True,0ce944020b4a206b,0ce944020b4a206b,True
HP,hp1,101,iteration_end,2,17,2770,2770,True,9e751df0364a95f2,9e751df0364a95f2,True
HP,hp1,101,iteration_end,2,18,2763,2763,True,8d54787641c28f7e,8d54787641c28f7e,True
HP,hp1,101,iteration_end,2,19,2515,2515,True,1749e4d3ce50a4da,1749e4d3ce50a4da,True
HP,hp1,101,iteration_end,3,0,3347,3347,True,64219c725a7e5d54,64219c725a7e5d54,True
HP,hp1,101,iteration_end,3,1,3347,3347,True,64219c725a7e5d54,64219c725a7e5d54,True
HP,hp1,101,iteration_end,3,2,3347,3347,True,64219c725a7e5d54,64219c725a7e5d54,True
HP,hp1,101,iteration_end,3,3,3347,3347,True,64219c725a7e5d54,64219c725a7e5d54,True
HP,hp1,101,iteration_end,3,4,3279,3279,True,c694e8afe8a6422f,c694e8afe8a6422f,True
HP,hp1,101,iteration_end,3,5,3279,3279,True,c694e8afe8a6422f,c694e8afe8a6422f,True
HP,hp1,101,iteration_end,3,6,3099,3099,True,18710ee5e58b9611,18710ee5e58b9611,True
HP,hp1,101,iteration_end,3,7,3093,3093,True,3b587fb274128549,3b587fb274128549,True
HP,hp1,101,iteration_end,3,8,3078,3078,True,0bafe059e02fa69d,0bafe059e02fa69d,True
HP,hp1,101,iteration_end,3,9,3078,3078,True,0bafe059e02fa69d,0bafe059e02fa69d,True
HP,hp1,101,iteration_end,3,10,3078,3078,True,0bafe059e02fa69d,0bafe059e02fa69d,True
