dataset,problem_id,seed,phase,iteration,rank,old_fit,new_fit,fit_match,old_solution_digest,new_solution_digest,solution_match
PB,pb1,101,initial_unsorted,-1,0,1458,1458,True,a1c21a960ad54283,a1c21a960ad54283,True
PB,pb1,101,initial_unsorted,-1,1,1529,1529,True,d169e7849c9f1811,d169e7849c9f1811,True
PB,pb1,101,initial_unsorted,-1,2,1153,1153,True,d5ade7901718f1a9,d5ade7901718f1a9,True
PB,pb1,101,initial_unsorted,-1,3,2604,2604,True,0456389835250703,0456389835250703,True
PB,pb1,101,initial_unsorted,-1,4,1963,1963,True,8673a747daaa977c,8673a747daaa977c,True
PB,pb1,101,initial_unsorted,-1,5,1514,1514,True,0770a5cf7d88f78e,0770a5cf7d88f78e,True
PB,pb1,101,initial_unsorted,-1,6,2208,2208,True,2f4f4f4fdf574978,2f4f4f4fdf574978,True
PB,pb1,101,initial_unsorted,-1,7,1819,1819,True,bcddaf5b9703cc05,bcddaf5b9703cc05,True
PB,pb1,101,initial_unsorted,-1,8,1894,1894,True,5fac21693a7f8c69,5fac21693a7f8c69,True
PB,pb1,101,initial_unsorted,-1,9,2478,2478,True,b08ecc9fcf1f639a,b08ecc9fcf1f639a,True
PB,pb1,101,initial_unsorted,-1,10,1553,1553,True,5b88daf594dd6c35,5b88daf594dd6c35,True
PB,pb1,101,initial_unsorted,-1,11,2010,2010,True,c4e20daac8b67078,c4e20daac8b67078,True
PB,pb1,101,initial_unsorted,-1,12,2421,2421,True,de620b91b1c09128,de620b91b1c09128,True
PB,pb1,101,initial_unsorted,-1,13,2225,2225,True,8d5ced00079e8582,8d5ced00079e8582,True
PB,pb1,101,initial_unsorted,-1,14,1535,1535,True,64512f67b92cae8d,64512f67b92cae8d,True
PB,pb1,101,initial_unsorted,-1,15,2555,2555,True,dc4283f6009590de,dc4283f6009590de,True
PB,pb1,101,initial_unsorted,-1,16,868,868,True,d415aa8d9d91c635,d415aa8d9d91c635,True
PB,pb1,101,initial_unsorted,-1,17,2743,2743,True,b946fb124541fcc1,b946fb124541fcc1,True
PB,pb1,101,initial_unsorted,-1,18,2635,2635,True,375e5fbc8a79fb07,375e5fbc8a79fb07,True
PB,pb1,101,initial_unsorted,-1,19,1488,1488,True,5a7412284168ef45,5a7412284168ef45,True
PB,pb1,101,initial_sorted,-1,0,2743,2743,True,b946fb124541fcc1,b946fb124541fcc1,True
PB,pb1,101,initial_sorted,-1,1,2635,2635,True,375e5fbc8a79fb07,375e5fbc8a79fb07,True
PB,pb1,101,initial_sorted,-1,2,2604,2604,True,0456389835250703,0456389835250703,True
PB,pb1,101,initial_sorted,-1,3,2555,2555,True,dc4283f6009590de,dc4283f6009590de,True
PB,pb1,101,initial_sorted,-1,4,2478,2478,True,b08ecc9fcf1f639a,b08ecc9fcf1f639a,True
PB,pb1,101,initial_sorted,-1,5,2421,2421,True,de620b91b1c09128,de620b91b1c09128,True
PB,pb1,101,initial_sorted,-1,6,2225,2225,True,8d5ced00079e8582,8d5ced00079e8582,True
PB,pb1,101,initial_sorted,-1,7,2208,2208,True,2f4f4f4fdf574978,2f4f4f4fdf574978,True
PB,pb1,101,initial_sorted,-1,8,2010,2010,True,c4e20daac8b67078,c4e20daac8b67078,True
PB,pb1,101,initial_sorted,-1,9,1963,1963,True,8673a747daaa977c,8673a747daaa977c,True
PB,pb1,101,initial_sorted,-1,10,1894,1894,True,5fac21693a7f8c69,5fac21693a7f8c69,True
PB,pb1,101,initial_sorted,-1,11,1819,1819,True,bcddaf5b9703cc05,bcddaf5b9703cc05,True
PB,pb1,101,initial_sorted,-1,12,1553,1553,True,5b88daf594dd6c35,5b88daf594dd6c35,True
PB,pb1,101,initial_sorted,-1,13,1535,1535,True,64512f67b92cae8d,64512f67b92cae8d,True
PB,pb1,101,initial_sorted,-1,14,1529,1529,True,d169e7849c9f1811,d169e7849c9f1811,True
PB,pb1,101,initial_sorted,-1,15,1514,1514,True,0770a5cf7d88f78e,0770a5cf7d88f78e,True
PB,pb1,101,initial_sorted,-1,16,1488,1488,True,5a7412284168ef45,5a7412284168ef45,True
PB,pb1,101,initial_sorted,-1,17,1458,1458,True,a1c21a960ad54283,a1c21a960ad54283,True
PB,pb1,101,initial_sorted,-1,18,1153,1153,True,d5ade7901718f1a9,d5ade7901718f1a9,True
PB,pb1,101,initial_sorted,-1,19,868,868,True,d415aa8d9d91c635,d415aa8d9d91c635,True
PB,pb1,101,iteration_end,0,0,2970,2970,True,480c789d5e404b86,480c789d5e404b86,True
PB,pb1,101,iteration_end,0,1,2836,2836,True,3e74f5c322e78bf4,3e74f5c322e78bf4,True
PB,pb1,101,iteration_end,0,2,2836,2836,True,3e74f5c322e78bf4,3e74f5c322e78bf4,True
PB,pb1,101,iteration_end,0,3,2757,2757,True,d7b4778b3b132a34,d7b4778b3b132a34,True
PB,pb1,101,iteration_end,0,4,2750,2750,True,20ecb989602612bb,20ecb989602612bb,True
PB,pb1,101,iteration_end,0,5,2750,2750,True,20ecb989602612bb,20ecb989602612bb,True
PB,pb1,101,iteration_end,0,6,2750,2750,True,20ecb989602612bb,20ecb989602612bb,True
PB,pb1,101,iteration_end,0,7,2750,2750,True,20ecb989602612bb,20ecb989602612bb,True
PB,pb1,101,iteration_end,0,8,2750,2750,True,20ecb989602612bb,20ecb989602612bb,True
PB,pb1,101,iteration_end,0,9,2750,2750,True,20ecb989602612bb,20ecb989602612bb,True
PB,pb1,101,iteration_end,0,10,2750,2750,True,20ecb989602612bb,20ecb989602612bb,True
PB,pb1,101,iteration_end,0,11,2750,2750,True,20ecb989602612bb,20ecb989602612bb,True
PB,pb1,101,iteration_end,0,12,2750,2750,True,20ecb989602612bb,20ecb989602612bb,True
PB,pb1,101,iteration_end,0,13,2750,2750,True,20ecb989602612bb,20ecb989602612bb,True
PB,pb1,101,iteration_end,0,14,2646,2646,True,66e7e3f24e4d7d38,66e7e3f24e4d7d38,True
PB,pb1,101,iteration_end,0,15,2597,2597,True,c63d3759ca9cee6a,c63d3759ca9cee6a,True
PB,pb1,101,iteration_end,0,16,2521,2521,True,96bad0dc139893d5,96bad0dc139893d5,True
PB,pb1,101,iteration_end,0,17,2506,2506,True,31d7bd7318c42902,31d7bd7318c42902,True
PB,pb1,101,iteration_end,0,18,2484,2484,True,d49d434160d1a5f0,d49d434160d1a5f0,True
PB,pb1,101,iteration_end,0,19,2279,2279,True,c101e262b6bd1aea,c101e262b6bd1aea,True
PB,pb1,101,iteration_end,1,0,2988,2988,True,794733933400a9fc,794733933400a9fc,True
PB,pb1,101,iteration_end,1,1,2988,2988,True,794733933400a9fc,794733933400a9fc,True
PB,pb1,101,iteration_end,1,2,2970,2970,True,480c789d5e404b86,480c789d5e404b86,True
PB,pb1,101,iteration_end,1,3,2951,2951,True,688060499fa4e59c,688060499fa4e59c,True
PB,pb1,101,iteration_end,1,4,2904,2904,True,66bc565058fe2a56,66bc565058fe2a56,True
PB,pb1,101,iteration_end,1,5,2884,2884,True,c0510493b2dd3b7c,c0510493b2dd3b7c,True
PB,pb1,101,iteration_end,1,6,2858,2858,True,8c6276570df8f402,8c6276570df8f402,True
PB,pb1,101,iteration_end,1,7,2750,2750,True,20ecb989602612bb,20ecb989602612bb,True
PB,pb1,101,iteration_end,1,8,2750,2750,True,20ecb989602612bb,20ecb989602612bb,True
PB,pb1,101,iteration_end,1,9,2750,2750,True,20ecb989602612bb,20ecb989602612bb,True
PB,pb1,101,iteration_end,1,10,2750,2750,True,20ecb989602612bb,20ecb989602612bb,True
PB,pb1,101,iteration_end,1,11,2718,2718,True,1e17e2fc697aefc2,1e17e2fc697aefc2,True
PB,pb1,101,iteration_end,1,12,2703,2703,True,b9e02cbaf64bb0ff,b9e02cbaf64bb0ff,True
PB,pb1,101,iteration_end,1,13,2702,2702,True,9ed8e3981bbcdf18,9ed8e3981bbcdf18,True
PB,pb1,101,iteration_end,1,14,2646,2646,True,66e7e3f24e4d7d38,66e7e3f24e4d7d38,True
PB,pb1,101,iteration_end,1,15,2646,2646,True,66e7e3f24e4d7d38,66e7e3f24e4d7d38,True
PB,pb1,101,iteration_end,1,16,2631,2631,True,4c71056c184f973a,4c71056c184f973a,True
PB,pb1,101,iteration_end,1,17,2506,2506,True,31d7bd7318c42902,31d7bd7318c42902,True
