dataset,problem_id,seed,phase,iteration,rank,old_fit,new_fit,fit_match,old_solution_digest,new_solution_digest,solution_match
PET,pet3,101,initial_unsorted,-1,0,1760,1760,True,f4d7ff91fb3b1fc6,f4d7ff91fb3b1fc6,True
PET,pet3,101,initial_unsorted,-1,1,1700,1700,True,bb4cbca01d67a6c7,bb4cbca01d67a6c7,True
PET,pet3,101,initial_unsorted,-1,2,2545,2545,True,dde71882e97e6240,dde71882e97e6240,True
PET,pet3,101,initial_unsorted,-1,3,2940,2940,True,11788b2b9b3d78c1,11788b2b9b3d78c1,True
PET,pet3,101,initial_unsorted,-1,4,2680,2680,True,acca57cbc091c6fb,acca57cbc091c6fb,True
PET,pet3,101,initial_unsorted,-1,5,2460,2460,True,e163ca4889f0933e,e163ca4889f0933e,True
PET,pet3,101,initial_unsorted,-1,6,2380,2380,True,9fe45f5715f8ae9e,9fe45f5715f8ae9e,True
PET,pet3,101,initial_unsorted,-1,7,1460,1460,True,71803bc6a49ed676,71803bc6a49ed676,True
PET,pet3,101,initial_unsorted,-1,8,3645,3645,True,2eea82fa5e9cffbf,2eea82fa5e9cffbf,True
PET,pet3,101,initial_unsorted,-1,9,2010,2010,True,0c8962fded432519,0c8962fded432519,True
PET,pet3,101,initial_unsorted,-1,10,1520,1520,True,efe5aeeac3d08d71,efe5aeeac3d08d71,True
PET,pet3,101,initial_unsorted,-1,11,3230,3230,True,d31ec5c574ff18dd,d31ec5c574ff18dd,True
PET,pet3,101,initial_unsorted,-1,12,2255,2255,True,9f18de34b76f110a,9f18de34b76f110a,True
PET,pet3,101,initial_unsorted,-1,13,2205,2205,True,6fbc46a537a39651,6fbc46a537a39651,True
PET,pet3,101,initial_unsorted,-1,14,2370,2370,True,a81504e4f69ba6fb,a81504e4f69ba6fb,True
PET,pet3,101,initial_unsorted,-1,15,2325,2325,True,763dfea996d16024,763dfea996d16024,True
PET,pet3,101,initial_unsorted,-1,16,3195,3195,True,f8b5e3c3f28f43ae,f8b5e3c3f28f43ae,True
PET,pet3,101,initial_unsorted,-1,17,1950,1950,True,b4e56c7aa6efbc5a,b4e56c7aa6efbc5a,True
PET,pet3,101,initial_unsorted,-1,18,2150,2150,True,60359590194cd6ab,60359590194cd6ab,True
PET,pet3,101,initial_unsorted,-1,19,2975,2975,True,576982b50ce5cbc8,576982b50ce5cbc8,True
PET,pet3,101,initial_sorted,-1,0,3645,3645,True,2eea82fa5e9cffbf,2eea82fa5e9cffbf,True
PET,pet3,101,initial_sorted,-1,1,3230,3230,True,d31ec5c574ff18dd,d31ec5c574ff18dd,True
PET,pet3,101,initial_sorted,-1,2,3195,3195,True,f8b5e3c3f28f43ae,f8b5e3c3f28f43ae,True
PET,pet3,101,initial_sorted,-1,3,2975,2975,True,576982b50ce5cbc8,576982b50ce5cbc8,True
PET,pet3,101,initial_sorted,-1,4,2940,2940,True,11788b2b9b3d78c1,11788b2b9b3d78c1,True
PET,pet3,101,initial_sorted,-1,5,2680,2680,True,acca57cbc091c6fb,acca57cbc091c6fb,True
PET,pet3,101,initial_sorted,-1,6,2545,2545,True,dde71882e97e6240,dde71882e97e6240,True
PET,pet3,101,initial_sorted,-1,7,2460,2460,True,e163ca4889f0933e,e163ca4889f0933e,True
PET,pet3,101,initial_sorted,-1,8,2380,2380,True,9fe45f5715f8ae9e,9fe45f5715f8ae9e,True
PET,pet3,101,initial_sorted,-1,9,2370,2370,True,a81504e4f69ba6fb,a81504e4f69ba6fb,True
PET,pet3,101,initial_sorted,-1,10,2325,2325,True,763dfea996d16024,763dfea996d16024,True
PET,pet3,101,initial_sorted,-1,11,2255,2255,True,9f18de34b76f110a,9f18de34b76f110a,True
PET,pet3,101,initial_sorted,-1,12,2205,2205,True,6fbc46a537a39651,6fbc46a537a39651,True
