dataset,problem_id,seed,phase,iteration,rank,old_fit,new_fit,fit_match,old_solution_digest,new_solution_digest,solution_match
WEISH,weish02,101,initial_unsorted,-1,0,2576,2576,True,4a9cf407064f35e2,4a9cf407064f35e2,True
WEISH,weish02,101,initial_unsorted,-1,1,2854,2854,True,7bcd45c95e0bc7d5,7bcd45c95e0bc7d5,True
WEISH,weish02,101,initial_unsorted,-1,2,2105,2105,True,331486852f4f5fd5,331486852f4f5fd5,True
WEISH,weish02,101,initial_unsorted,-1,3,2295,2295,True,70a9a80736ff816d,70a9a80736ff816d,True
WEISH,weish02,101,initial_unsorted,-1,4,2553,2553,True,36582114f6841bfd,36582114f6841bfd,True
WEISH,weish02,101,initial_unsorted,-1,5,2404,2404,True,a2dad5bf8e0ded5d,a2dad5bf8e0ded5d,True
WEISH,weish02,101,initial_unsorted,-1,6,3305,3305,True,a823b52285a47717,a823b52285a47717,True
WEISH,weish02,101,initial_unsorted,-1,7,1590,1590,True,997789540414bdc3,997789540414bdc3,True
WEISH,weish02,101,initial_unsorted,-1,8,2533,2533,True,114b0ffa8cc4cd2e,114b0ffa8cc4cd2e,True
WEISH,weish02,101,initial_unsorted,-1,9,2276,2276,True,1380339cb86a5350,1380339cb86a5350,True
WEISH,weish02,101,initial_unsorted,-1,10,3370,3370,True,e96cd36dcdd278d3,e96cd36dcdd278d3,True
WEISH,weish02,101,initial_unsorted,-1,11,3519,3519,True,748964bf46718350,748964bf46718350,True
WEISH,weish02,101,initial_unsorted,-1,12,2076,2076,True,e3a5869721b87cc0,e3a5869721b87cc0,True
WEISH,weish02,101,initial_unsorted,-1,13,2319,2319,True,dd01205da9ef76c2,dd01205da9ef76c2,True
WEISH,weish02,101,initial_unsorted,-1,14,3295,3295,True,8a8289be8850c994,8a8289be8850c994,True
WEISH,weish02,101,initial_unsorted,-1,15,2090,2090,True,e826ef0126491dda,e826ef0126491dda,True
WEISH,weish02,101,initial_unsorted,-1,16,3757,3757,True,2d85af592f5be164,2d85af592f5be164,True
WEISH,weish02,101,initial_unsorted,-1,17,2605,2605,True,2bc6138a76d34760,2bc6138a76d34760,True
WEISH,weish02,101,initial_unsorted,-1,18,4224,4224,True,5e74468e2c967490,5e74468e2c967490,True
WEISH,weish02,101,initial_unsorted,-1,19,2035,2035,True,9475b5715960bf7a,9475b5715960bf7a,True
WEISH,weish02,101,initial_sorted,-1,0,4224,4224,True,5e74468e2c967490,5e74468e2c967490,True
WEISH,weish02,101,initial_sorted,-1,1,3757,3757,True,2d85af592f5be164,2d85af592f5be164,True
WEISH,weish02,101,initial_sorted,-1,2,3519,3519,True,748964bf46718350,748964bf46718350,True
WEISH,weish02,101,initial_sorted,-1,3,3370,3370,True,e96cd36dcdd278d3,e96cd36dcdd278d3,True
WEISH,weish02,101,initial_sorted,-1,4,3305,3305,True,a823b52285a47717,a823b52285a47717,True
WEISH,weish02,101,initial_sorted,-1,5,3295,3295,True,8a8289be8850c994,8a8289be8850c994,True
WEISH,weish02,101,initial_sorted,-1,6,2854,2854,True,7bcd45c95e0bc7d5,7bcd45c95e0bc7d5,True
WEISH,weish02,101,initial_sorted,-1,7,2605,2605,True,2bc6138a76d34760,2bc6138a76d34760,True
WEISH,weish02,101,initial_sorted,-1,8,2576,2576,True,4a9cf407064f35e2,4a9cf407064f35e2,True
WEISH,weish02,101,initial_sorted,-1,9,2553,2553,True,36582114f6841bfd,36582114f6841bfd,True
