dataset,problem_id,seed,phase,iteration,rank,old_fit,new_fit,fit_match,old_solution_digest,new_solution_digest,solution_match
WEISH,weish01,101,initial_unsorted,-1,0,2189,2189,True,631822739d69f0e1,631822739d69f0e1,True
WEISH,weish01,101,initial_unsorted,-1,1,1798,1798,True,921841e803b9316c,921841e803b9316c,True
WEISH,weish01,101,initial_unsorted,-1,2,3013,3013,True,e95456a15e3ed435,e95456a15e3ed435,True
WEISH,weish01,101,initial_unsorted,-1,3,2451,2451,True,7bb4256cfe5c8b5b,7bb4256cfe5c8b5b,True
WEISH,weish01,101,initial_unsorted,-1,4,2869,2869,True,99788bc8eaf76958,99788bc8eaf76958,True
WEISH,weish01,101,initial_unsorted,-1,5,2155,2155,True,8508043586db4253,8508043586db4253,True
WEISH,weish01,101,initial_unsorted,-1,6,2997,2997,True,263d3f9e93333b50,263d3f9e93333b50,True
WEISH,weish01,101,initial_unsorted,-1,7,1872,1872,True,33a2f66360e3c2b8,33a2f66360e3c2b8,True
WEISH,weish01,101,initial_unsorted,-1,8,3024,3024,True,25bbf6f145c9b070,25bbf6f145c9b070,True
WEISH,weish01,101,initial_unsorted,-1,9,2303,2303,True,8085062c024776bc,8085062c024776bc,True
WEISH,weish01,101,initial_unsorted,-1,10,2896,2896,True,ab7461c9d4f091e1,ab7461c9d4f091e1,True
WEISH,weish01,101,initial_unsorted,-1,11,2915,2915,True,97ddc70e0fa44f13,97ddc70e0fa44f13,True
WEISH,weish01,101,initial_unsorted,-1,12,2673,2673,True,b75336a018e748a6,b75336a018e748a6,True
WEISH,weish01,101,initial_unsorted,-1,13,2143,2143,True,3a19909d2689d0ae,3a19909d2689d0ae,True
WEISH,weish01,101,initial_unsorted,-1,14,3141,3141,True,1db76146b406ece5,1db76146b406ece5,True
WEISH,weish01,101,initial_unsorted,-1,15,1741,1741,True,0bd799ed7818178b,0bd799ed7818178b,True
WEISH,weish01,101,initial_unsorted,-1,16,3739,3739,True,7417a4bb55224fc1,7417a4bb55224fc1,True
WEISH,weish01,101,initial_unsorted,-1,17,2406,2406,True,f1c426aacde7b199,f1c426aacde7b199,True
WEISH,weish01,101,initial_unsorted,-1,18,3534,3534,True,7330aa4cc9abe523,7330aa4cc9abe523,True
WEISH,weish01,101,initial_unsorted,-1,19,1894,1894,True,297edfe711a89dd2,297edfe711a89dd2,True
WEISH,weish01,101,initial_sorted,-1,0,3739,3739,True,7417a4bb55224fc1,7417a4bb55224fc1,True
WEISH,weish01,101,initial_sorted,-1,1,3534,3534,True,7330aa4cc9abe523,7330aa4cc9abe523,True
WEISH,weish01,101,initial_sorted,-1,2,3141,3141,True,1db76146b406ece5,1db76146b406ece5,True
WEISH,weish01,101,initial_sorted,-1,3,3024,3024,True,25bbf6f145c9b070,25bbf6f145c9b070,True
WEISH,weish01,101,initial_sorted,-1,4,3013,3013,True,e95456a15e3ed435,e95456a15e3ed435,True
WEISH,weish01,101,initial_sorted,-1,5,2997,2997,True,263d3f9e93333b50,263d3f9e93333b50,True
WEISH,weish01,101,initial_sorted,-1,6,2915,2915,True,97ddc70e0fa44f13,97ddc70e0fa44f13,True
WEISH,weish01,101,initial_sorted,-1,7,2896,2896,True,ab7461c9d4f091e1,ab7461c9d4f091e1,True
WEISH,weish01,101,initial_sorted,-1,8,2869,2869,True,99788bc8eaf76958,99788bc8eaf76958,True
WEISH,weish01,101,initial_sorted,-1,9,2673,2673,True,b75336a018e748a6,b75336a018e748a6,True
WEISH,weish01,101,initial_sorted,-1,10,2451,2451,True,7bb4256cfe5c8b5b,7bb4256cfe5c8b5b,True
WEISH,weish01,101,initial_sorted,-1,11,2406,2406,True,f1c426aacde7b199,f1c426aacde7b199,True
WEISH,weish01,101,initial_sorted,-1,12,2303,2303,True,8085062c024776bc,8085062c024776bc,True
WEISH,weish01,101,initial_sorted,-1,13,2189,2189,True,631822739d69f0e1,631822739d69f0e1,True
WEISH,weish01,101,initial_sorted,-1,14,2155,2155,True,8508043586db4253,8508043586db4253,True
WEISH,weish01,101,initial_sorted,-1,15,2143,2143,True,3a19909d2689d0ae,3a19909d2689d0ae,True
WEISH,weish01,101,initial_sorted,-1,16,1894,1894,True,297edfe711a89dd2,297edfe711a89dd2,True
WEISH,weish01,101,initial_sorted,-1,17,1872,1872,True,33a2f66360e3c2b8,33a2f66360e3c2b8,True
WEISH,weish01,101,initial_sorted,-1,18,1798,1798,True,921841e803b9316c,921841e803b9316c,True
WEISH,weish01,101,initial_sorted,-1,19,1741,1741,True,0bd799ed7818178b,0bd799ed7818178b,True
WEISH,weish01,101,iteration_end,0,0,4549,4549,True,d2fe41eda0ab902d,d2fe41eda0ab902d,True
WEISH,weish01,101,iteration_end,0,1,4466,4466,True,a683631bd88f75af,a683631bd88f75af,True
WEISH,weish01,101,iteration_end,0,2,4419,4419,True,2a46dc3aebe02e89,2a46dc3aebe02e89,True
WEISH,weish01,101,iteration_end,0,3,4419,4419,True,2a46dc3aebe02e89,2a46dc3aebe02e89,True
WEISH,weish01,101,iteration_end,0,4,4419,4419,True,2a46dc3aebe02e89,2a46dc3aebe02e89,True
WEISH,weish01,101,iteration_end,0,5,4419,4419,True,2a46dc3aebe02e89,2a46dc3aebe02e89,True
WEISH,weish01,101,iteration_end,0,6,4311,4311,True,02529fec2b454c7e,02529fec2b454c7e,True
WEISH,weish01,101,iteration_end,0,7,4260,4260,True,912e6a6c41d28b01,912e6a6c41d28b01,True
WEISH,weish01,101,iteration_end,0,8,4028,4028,True,559a21bc01b71c9b,559a21bc01b71c9b,True
WEISH,weish01,101,iteration_end,0,9,4010,4010,True,ae4cfc1c11f3e5e5,ae4cfc1c11f3e5e5,True
WEISH,weish01,101,iteration_end,0,10,3962,3962,True,88680b3938442240,88680b3938442240,True
WEISH,weish01,101,iteration_end,0,11,3886,3886,True,c44866afe9a18587,c44866afe9a18587,True
WEISH,weish01,101,iteration_end,0,12,3883,3883,True,bc35b7f65a9fb3bb,bc35b7f65a9fb3bb,True
