row_type,problem_type,encoding,direction,problem_id,solver_id,run_count,valid_run_count,feasible_rate,avg_runtime,avg_evaluation_count,avg_objective,best_objective,best_known,best_known_reached_count,best_known_gap_min,best_known_gap_avg,excluded_infeasible,excluded_objective_mismatch,excluded_runtime_error
overall,,,max,,,600,600,1.0,107.23301343252184,20020.0,7394.275,11191,,,,,0,0,0
group,mkp,binary,max,weish01,bsma_v1_008,20,20,1.0,5.641337183828,20020.0,4554.0,4554,4554,20,0,0.0,0,0,0
group,mkp,binary,max,weish02,bsma_v1_008,20,20,1.0,6.313541330210865,20020.0,4536.0,4536,4536,20,0,0.0,0,0,0
group,mkp,binary,max,weish03,bsma_v1_008,20,20,1.0,5.037966163549572,20020.0,4115.0,4115,4115,20,0,0.0,0,0,0
group,mkp,binary,max,weish04,bsma_v1_008,20,20,1.0,1.2483905756147577,20020.0,4561.0,4561,4561,20,0,0.0,0,0,0
group,mkp,binary,max,weish05,bsma_v1_008,20,20,1.0,4.376278178859502,20020.0,4514.0,4514,4514,20,0,0.0,0,0,0
group,mkp,binary,max,weish06,bsma_v1_008,20,20,1.0,11.059541700000409,20020.0,5557.0,5557,5557,20,0,0.0,0,0,0
group,mkp,binary,max,weish07,bsma_v1_008,20,20,1.0,6.7597842490067706,20020.0,5567.0,5567,5567,20,0,0.0,0,0,0
group,mkp,binary,max,weish08,bsma_v1_008,20,20,1.0,58.27135198317701,20020.0,5605.0,5605,5605,20,0,0.0,0,0,0
group,mkp,binary,max,weish09,bsma_v1_008,20,20,1.0,2.397191791026853,20020.0,5246.0,5246,5246,20,0,0.0,0,0,0
group,mkp,binary,max,weish10,bsma_v1_008,20,20,1.0,35.06370184548432,20020.0,6339.0,6339,6339,20,0,0.0,0,0,0
group,mkp,binary,max,weish11,bsma_v1_008,20,20,1.0,2.025931581831537,20020.0,5643.0,5643,5643,20,0,0.0,0,0,0
group,mkp,binary,max,weish12,bsma_v1_008,20,20,1.0,86.76729222055292,20020.0,6339.0,6339,6339,20,0,0.0,0,0,0
group,mkp,binary,max,weish13,bsma_v1_008,20,20,1.0,8.783195107709616,20020.0,6159.0,6159,6159,20,0,0.0,0,0,0
group,mkp,binary,max,weish14,bsma_v1_008,20,20,1.0,7.896368224243633,20020.0,6954.0,6954,6954,20,0,0.0,0,0,0
group,mkp,binary,max,weish15,bsma_v1_008,20,20,1.0,110.67259072002489,20020.0,7486.0,7486,7486,20,0,0.0,0,0,0
group,mkp,binary,max,weish16,bsma_v1_008,20,20,1.0,87.44084654687904,20020.0,7289.0,7289,7289,20,0,0.0,0,0,0
group,mkp,binary,max,weish17,bsma_v1_008,20,20,1.0,47.13819934942294,20020.0,8633.0,8633,8633,20,0,0.0,0,0,0
group,mkp,binary,max,weish18,bsma_v1_008,20,20,1.0,314.0397430150653,20020.0,9580.0,9580,9580,20,0,0.0,0,0,0
group,mkp,binary,max,weish19,bsma_v1_008,20,20,1.0,6.143308722169604,20020.0,7698.0,7698,7698,20,0,0.0,0,0,0
group,mkp,binary,max,weish20,bsma_v1_008,20,20,1.0,39.794091575895436,20020.0,9450.0,9450,9450,20,0,0.0,0,0,0
group,mkp,binary,max,weish21,bsma_v1_008,20,20,1.0,101.63432170107262,20020.0,9074.0,9074,9074,20,0,0.0,0,0,0
group,mkp,binary,max,weish22,bsma_v1_008,20,20,1.0,655.529073813255,20020.0,8940.7,8947,8947,13,0,6.3,0,0,0
group,mkp,binary,max,weish23,bsma_v1_008,20,20,1.0,368.14272823374483,20020.0,8343.4,8344,8344,16,0,0.6,0,0,0
group,mkp,binary,max,weish24,bsma_v1_008,20,20,1.0,391.9164068136364,20020.0,10218.75,10220,10220,18,0,1.25,0,0,0
group,mkp,binary,max,weish25,bsma_v1_008,20,20,1.0,595.1960943711223,20020.0,9931.0,9939,9939,10,0,8.0,0,0,0
group,mkp,binary,max,weish26,bsma_v1_008,20,20,1.0,40.316525348927826,20020.0,9584.0,9584,9584,20,0,0.0,0,0,0
group,mkp,binary,max,weish27,bsma_v1_008,20,20,1.0,18.59445444998564,20020.0,9819.0,9819,9819,20,0,0.0,0,0,0
group,mkp,binary,max,weish28,bsma_v1_008,20,20,1.0,2.4760190166300164,20020.0,9492.0,9492,9492,20,0,0.0,0,0,0
group,mkp,binary,max,weish29,bsma_v1_008,20,20,1.0,6.630582880659494,20020.0,9410.0,9410,9410,20,0,0.0,0,0,0
group,mkp,binary,max,weish30,bsma_v1_008,20,20,1.0,189.68354428206803,20020.0,11190.4,11191,11191,17,0,0.6,0,0,0
